parent,child
h5,g__Mycoplasma|s__arthritidis
p__Actinobacteria,g__Microlunatus|s__sp. KUDC0627
h7,g__Exiguobacterium|s__sp. S3-2
h7,g__Aquimarina|s__sp. TRL1
h0,g__Fervidobacterium|s__changbaicum
h5,g__Salarchaeum|s__sp. JOR-1
h3,g__Thermococcus|s__celer
h7,g__Micrococcus|s__sp. A7
h8,g__Pseudomonas|s__soli
SuccinateProductionexport,g__Alistipes|s__shahii
h0,g__Pseudomonas|s__otitidis
PantothenicacidVitaminB5PantothenateConsumptionimport,g__Streptococcus|s__salivarius
h1,g__Borreliella|s__garinii
p__Actinobacteria,g__Streptomyces|s__sp. Mg1
h7,g__Streptomyces|s__rectiverticillatus
h9,g__Ignavibacterium|s__album
h5,g__Pseudomonas|s__sp. gcc21
h4,g__Chlamydia|s__abortus
p__Proteobacteria,g__Pseudomonas|s__versuta
h2,g__Mycoplasma|s__alkalescens
p__Proteobacteria,g__Desulfosarcina|s__ovata
h2,g__Spiroplasma|s__turonicum
H2HydrogenProductionexport,g__Bacteroides|s__xylanisolvens
h4,g__Streptococcus|s__marmotae
h8,g__Candidatus Blochmannia|s__Blochmannia endosymbiont of Camponotus (Colobopsis) obliquus
p__Firmicutes,g__Lactiplantibacillus|s__plantarum
h9,g__Roseiflexus|s__castenholzii
h6,g__Deinococcus|s__sp. NW-56
h0,g__Psychrobacter|s__sp. P2G3
h2,g__Hydrogenophilus|s__thermoluteolus
h4,g__Geobacter|s__sp. M18
p__Proteobacteria,g__Desulfosarcina|s__widdelii
h1,g__Exiguobacterium|s__acetylicum
h3,g__Synechococcus|s__sp. HK01-R
h3,g__Leptotrichia|s__trevisanii
h7,g__Desulfovibrio|s__piger
h5,g__Nonlabens|s__sp. MIC269
p__Proteobacteria,g__Rickettsia|s__montanensis
h1,g__Acinetobacter|s__sp. C16S1
p__Proteobacteria,g__Porphyrobacter|s__sp. LM 6
h9,g__Synechococcus|s__sp. PROS-U-1
h8,g__Bartonella|s__quintana
h5,g__Pseudomonas|s__mediterranea
h7,g__Haemophilus|s__parainfluenzae
h7,g__Arthrobacter|s__sp. PAMC25564
h8,g__Yersinia|s__mollaretii
h5,g__Acinetobacter|s__equi
h6,g__Candidatus Nitrosotenuis|s__aquarius
h9,g__Corynebacterium|s__imitans
h2,g__Methanohalobium|s__evestigatum
h6,g__Mogibacterium|s__pumilum
h3,g__Sphingomonas|s__sp. AAP5
h8,g__Lentilactobacillus|s__Lactobacillus buchneri
h5,g__Helicobacter|s__bizzozeronii
output,L-MethionineD-MethionineConsumptionimport
h6,g__Pyrococcus|s__yayanosii
h7,g__Sulfurospirillum|s__sp. ACSDCE
h0,g__Porphyrobacter|s__sp. YT40
p__Proteobacteria,g__Lautropia|s__mirabilis
h3,g__Nocardioides|s__daphniae
h5,g__Citrobacter|s__sp. RHBSTW-00021
Isobutyrate2-MethylpropanoicacidConsumptionimport,g__Butyrivibrio|s__proteoclasticus
h0,g__Pseudomonas|s__lalkuanensis
h3,g__Mycobacteroides|s__abscessus
h7,g__Bradyrhizobium|s__symbiodeficiens
h7,g__Bartonella|s__sp. WD16.2
h2,g__Staphylococcus|s__caprae
h8,g__Corynebacterium|s__singulare
h8,g__Saccharomonospora|s__glauca
FormateConsumptionimport,g__Klebsiella|s__pneumoniae
h8,g__Methanococcus|s__vannielii
p__Proteobacteria,g__Tardibacter|s__chloracetimidivorans
120,g__Bordetella|s__genomosp. 13
p__Thaumarchaeota,g__Nitrosopumilus|s__adriaticus
208,g__Vibrio|s__rumoiensis
h4,g__Lentibacillus|s__amyloliquefaciens
h6,g__Agromyces|s__sp. LHK192
h7,g__Pseudomonas|s__sp. B11D7D
h8,g__Thermus|s__scotoductus
14,g__Bacteroides|s__uniformis
p__Proteobacteria,g__Pseudodesulfovibrio|s__profundus
h6,g__Paucilactobacillus|s__Lactobacillus nenjiangensis
h7,g__Pseudomonas|s__sp. R4-35-07
h2,g__Martelella|s__sp. AD-3
h9,g__Pantoea|s__rwandensis
h1,g__Acetobacter|s__pomorum
output,181
p__Proteobacteria,g__Rahnella|s__sp. WMR66
h7,g__Acetobacter|s__ascendens
p__Proteobacteria,g__Agrobacterium|s__rhizogenes
h0,g__Bradyrhizobium|s__oligotrophicum
h0,g__Kocuria|s__rhizophila
h2,g__Serratia|s__grimesii
PantothenicacidVitaminB5PantothenateConsumptionimport,g__Lactobacillus|s__iners
h6,g__Mesorhizobium|s__opportunistum
h8,g__Bordetella|s__pertussis
p__Proteobacteria,g__Aromatoleum|s__aromaticum
h6,g__Archaeoglobus|s__veneficus
h2,g__Ancylobacter|s__sp. TS-1
h3,g__Vibrio|s__casei
h7,g__Borrelia|s__parkeri
p__Proteobacteria,g__Altererythrobacter|s__sp. B11
h2,g__Sphingobium|s__sp. RSMS
h1,g__Sulfurospirillum|s__sp. UCH001
h7,g__Paenalcaligenes|s__hominis
h1,g__Thermoanaerobacter|s__mathranii
h2,g__Halorhabdus|s__sp. CBA1104
L-LysineLysineD-LysineConsumptionimport,g__Clostridium|s__botulinum
h7,g__Sulfurimonas|s__gotlandica
h8,g__Mycoplasma|s__bovoculi
h7,g__Erythrobacter|s__litoralis
h4,g__Meiothermus|s__ruber
h7,g__Methanohalophilus|s__halophilus
h5,g__Agrobacterium|s__genomosp. 6
h6,g__Pantoea|s__Candidatus Pantoea carbekii
h4,g__Dietzia|s__lutea
h7,g__Micromonospora|s__purpureochromogenes
h7,g__Haloarcula|s__sp. CBA1115
h9,g__Serratia|s__entomophila
h0,g__Thermofilum|s__adornatum
h6,g__Vibrio|s__hyugaensis
h4,g__Rhizobium|s__sp. ADMK78
h8,g__Sodalis|s__praecaptivus
h1,g__Sphingomonas|s__sp. FARSPH
h6,g__Kocuria|s__turfanensis
h2,g__Campylobacter|s__iguaniorum
p__Proteobacteria,g__Stenotrophomonas|s__sp. 364
h9,g__Sulfitobacter|s__sp. BSw21498
h4,g__Alloactinosynnema|s__sp. L-07
h0,g__Pyrococcus|s__kukulkanii
h4,g__Serratia|s__proteamaculans
h9,g__Orrella|s__dioscoreae
h1,g__Massilia|s__lutea
h8,g__Sediminispirochaeta|s__smaragdinae
h0,g__Mycolicibacter|s__hiberniae
p__Cyanobacteria,g__Calothrix|s__sp. NIES-4071
h5,g__Rhizobium|s__sp. S41
h2,g__Glutamicibacter|s__halophytocola
h2,g__Pseudoalteromonas|s__sp. A25
h6,g__Nitrosomonas|s__sp. Is79A3
h4,g__Streptococcus|s__thermophilus
h9,g__Bradyrhizobium|s__guangzhouense
h9,g__Pelistega|s__sp. NLN63
h4,g__Rippkaea|s__orientalis
h6,g__Roseivirga|s__pacifica
h5,g__Pseudomonas|s__sp. R76
p__Tenericutes,g__Mesoplasma|s__florum
h2,g__Nonlabens|s__sp. MIC269
h6,g__Candidatus Desulfofervidus|s__auxilii
h0,g__Francisella|s__hispaniensis
h3,g__Sphingopyxis|s__sp. QXT-31
h8,g__Burkholderia|s__oklahomensis
p__Proteobacteria,g__Raoultella|s__Enterobacteriaceae endosymbiont of Donacia clavipes
p__Proteobacteria,g__Rickettsia|s__prowazekii
h0,g__Cloacibacterium|s__normanense
h9,g__Streptomyces|s__hundungensis
h0,g__Agromyces|s__flavus
h0,g__Turicibacter|s__sp. H121
h7,g__Streptomyces|s__sp. 44414
h0,g__Janthinobacterium|s__sp.
h6,g__Wolbachia|s__pipientis
h1,g__Kosakonia|s__Enterobacteriaceae endosymbiont of Donacia bicoloricornis
h3,g__Azospirillum|s__sp. TSH58
14,g__Kineococcus|s__radiotolerans
h1,g__Streptomyces|s__globosus
h2,g__Xanthomonas|s__cassavae
h5,g__Microbulbifer|s__sp. A4B17
h4,g__Leptothrix|s__cholodnii
p__Proteobacteria,g__Halomonas|s__beimenensis
h1,g__Citrobacter|s__sp. Y3
h5,g__Sphingomonas|s__wittichii
h1,g__Campylobacter|s__canadensis
h0,g__Clostridium|s__sporogenes
h0,g__Serratia|s__entomophila
p__Proteobacteria,g__Vibrio|s__astriarenae
p__Proteobacteria,g__Sphingomonas|s__sp. HKS19
h0,g__Hydrogenovibrio|s__thermophilus
h1,g__Sphingomonas|s__sp. AP4-R1
h0,g__Winogradskyella|s__schleiferi
h6,g__Acetoanaerobium|s__sticklandii
h3,g__Ketobacter|s__alkanivorans
265,g__Paraburkholderia|s__tropica
h9,g__Thioalkalivibrio|s__nitratireducens
h2,g__Acidovorax|s__sp. JMULE5
h3,g__Granulosicoccus|s__antarcticus
h4,g__Epibacterium|s__mobile
h5,g__Opitutus|s__sp. GAS368
h7,g__Marivivens|s__sp. JLT3646
h5,g__Bacillus|s__sp. 275
h3,g__Mucilaginibacter|s__ginsenosidivorans
h6,g__Mycoplasma|s__suis
h9,g__Acetoanaerobium|s__sticklandii
h8,g__Pseudomonas|s__sp. R4-35-07
h0,g__Marinomonas|s__sp. SM1966
h8,g__Glaesserella|s__sp. 15-184
p__Proteobacteria,g__Pseudomonas|s__amygdali
h7,g__Aeromicrobium|s__marinum
h4,g__Massilia|s__sp. YMA4
h0,g__Celeribacter|s__indicus
h7,g__Corallococcus|s__macrosporus
h9,g__Gilvibacter|s__sp. SZ-19
h0,g__Novosphingobium|s__sp. ES2-1
h7,g__Actinomyces|s__radicidentis
CellobioseConsumptionimport,g__Pyrococcus|s__furiosus
19,g__Rothia|s__mucilaginosa
h0,g__Corynebacterium|s__aurimucosum
h0,g__Methanoculleus|s__bourgensis
h0,g__Aciduliprofundum|s__boonei
h1,g__Mesorhizobium|s__terrae
h0,g__Streptococcus|s__sp. 'group B'
h6,g__Streptomyces|s__olivoreticuli
h2,g__Haloarcula|s__marismortui
h5,g__Capnocytophaga|s__endodontalis
h8,g__Thermococcus|s__guaymasensis
h9,g__Geobacillus|s__sp. 46C-IIa
h4,g__Chromobacterium|s__vaccinii
h4,g__Rhodococcus|s__sp. WAY2
p__Proteobacteria,g__Wolbachia|s__endosymbiont of Culex quinquefasciatus
h2,g__Stanieria|s__sp. NIES-3757
h9,g__Enterococcus|s__sp. CR-Ec1
h1,g__Shewanella|s__sp. FDAARGOS_354
h8,g__Acidovorax|s__sp. RAC01
h0,g__Pseudonocardia|s__dioxanivorans
h3,g__Corynebacterium|s__camporealensis
D-XyloseXyloseConsumptionimport,g__Methylobacterium|s__nodulans
h2,g__Candidatus Nitrosocaldus|s__cavascurensis
h0,g__Streptomyces|s__pactum
h6,g__Pseudoalteromonas|s__agarivorans
h1,g__Agrobacterium|s__sp. CGMCC 11546
p__Proteobacteria,g__Azoarcus|s__sp. DD4
h5,g__Blautia|s__producta
h2,g__Nocardioides|s__dokdonensis
h4,g__Roseococcus|s__sp. NIBR12
h9,g__Liberibacter|s__Candidatus Liberibacter africanus
p__Proteobacteria,g__Sphingomonas|s__lacunae
h3,g__Mesoplasma|s__chauliocola
h8,g__Citrobacter|s__sp. 172116965
h2,g__Rhodocytophaga|s__sp. 172606-1
h8,g__Proteus|s__vulgaris
h0,g__Rhodobacter|s__blasticus
h2,g__Aliivibrio|s__fischeri
h3,g__Phenylobacterium|s__zucineum
h1,g__Pseudomonas|s__asplenii
h8,g__Stygiolobus|s__azoricus
h5,g__Geobacter|s__uraniireducens
h8,g__Roseovarius|s__sp. THAF8
h0,g__Pusillimonas|s__sp. DMV24BSW_D
h0,g__Arabia|s__massiliensis
h5,g__Halomonas|s__sp. NBT06E8
h5,g__Bradyrhizobium|s__zhanjiangense
h9,g__Streptomyces|s__sp. P3
h1,g__Lactobacillus|s__sp. NFFJ11
h3,g__Methanosphaera|s__sp. BMS
h0,g__Actinomyces|s__sp. 2129
h9,g__Desulfomicrobium|s__orale
p__Firmicutes,g__Bacillus|s__albus
12,g__Clavibacter|s__michiganensis
h6,g__Bordetella|s__genomosp. 13
h7,g__Methylomonas|s__methanica
h0,g__Candidatus Kinetoplastibacterium|s__blastocrithidii
h6,g__Parasphingopyxis|s__sp. CP4
h7,g__Erythrobacter|s__sp. KY5
p__Actinobacteria,g__Nocardia|s__wallacei
h2,g__Brevibacillus|s__sp. 7WMA2
h3,g__Psychrobacter|s__maritimus
h6,g__Azotobacter|s__chroococcum
h8,g__Oceanimonas|s__sp. GK1
h7,g__Mycoplasma|s__pneumoniae
h4,g__Spiribacter|s__sp. 2438
h5,g__Candidatus Ruthia|s__endofausta
h9,g__Rothia|s__mucilaginosa
h0,g__Rahnella|s__sp. WMR42
h2,g__Sphingobium|s__japonicum
h6,g__Burkholderia|s__sp. KK1
h0,g__Lawsonia|s__intracellularis
h2,g__Treponema|s__pedis
h4,g__Marinomonas|s__mediterranea
h6,g__Rhodococcus|s__sp. MTM3W5.2
h3,g__Elizabethkingia|s__sp. JS20170427COW
h9,g__Thermococcus|s__eurythermalis
h8,g__Pigmentiphaga|s__aceris
h2,g__Streptomyces|s__cyaneogriseus
h5,g__Actinomadura|s__sp. WMMA1423
h8,g__Chryseobacterium|s__sp. 3008163
h7,g__Variovorax|s__sp. PAMC28562
h2,g__Bifidobacterium|s__longum
p__Actinobacteria,g__Streptomyces|s__sp. SAT1
RaffinoseConsumptionimport,g__Bifidobacterium|s__bifidum
h7,g__Salinispira|s__pacifica
p__Bacteroidetes,g__Chryseobacterium|s__sp.
p__Actinobacteria,g__Nocardioides|s__baekrokdamisoli
h0,g__Sphingobium|s__sp. TKS
h6,g__Cobetia|s__pacifica
h0,g__Tomitella|s__sp. HY188
h6,g__Sporosarcina|s__sp.
h2,g__Gemella|s__sanguinis
h2,g__Halopenitus|s__persicus
p__Actinobacteria,g__Streptomyces|s__harbinensis
h8,g__Cnuibacter|s__physcomitrellae
p__Firmicutes,g__Streptococcus|s__gwangjuense
h5,g__Moraxella|s__ovis
h6,g__Citrobacter|s__sp. TSA-1
126,g__Vibrio|s__sp. ZWAL4003
CO2Productionexport,g__Streptococcus|s__vestibularis
h0,g__Streptomyces|s__sp. 2323.1
h3,g__Serratia|s__sp. 1D1416
h8,g__Veillonella|s__atypica
h2,g__Vibrio|s__alginolyticus
h9,g__Enterococcus|s__sp. M190262
h4,g__Nitrospira|s__sp. KM1
h7,g__Spiroplasma|s__poulsonii
h5,g__Weissella|s__paramesenteroides
h6,g__Lysobacter|s__alkalisoli
h7,g__Halobiforma|s__lacisalsi
h5,g__Nitrosospira|s__multiformis
p__Proteobacteria,g__Polaromonas|s__sp. E3S
h3,g__Blattabacterium|s__clevelandi
h1,g__Thermotoga|s__caldifontis
h1,g__Stenotrophomonas|s__sp. MYb57
h3,g__Dietzia|s__lutea
h4,g__Paenibacillus|s__baekrokdamisoli
p__Actinobacteria,g__Clavibacter|s__sp. DM1
h8,g__Aliarcobacter|s__faecis
h3,g__Gryllotalpicola|s__protaetiae
p__Proteobacteria,g__Acetobacter|s__oryzoeni
h4,g__Janibacter|s__indicus
h6,g__Nonlabens|s__sp. MIC269
p__Proteobacteria,g__Shewanella|s__khirikhana
307,g__Desulfurobacterium|s__thermolithotrophum
h6,g__Rhizobium|s__jaguaris
h1,g__Caloramator|s__sp. E03
h7,g__Colwellia|s__sp. PAMC 20917
h5,g__Mycobacterium|s__gordonae
h6,g__Candidatus Hepatoplasma|s__crinochetorum
h1,g__Methanosarcina|s__siciliae
h8,g__Mycobacterium|s__chimaera
h4,g__Shewanella|s__sp. SNU WT4
h8,g__Sphingobacterium|s__sp. DR205
h6,g__Corynebacterium|s__pelargi
h9,g__Methanobacterium|s__formicicum
h9,g__Corynebacterium|s__pelargi
h1,g__Pedobacter|s__suwonensis
h5,g__Shewanella|s__sp. MR-4
h2,g__Caulobacter|s__sp. Ji-3-8
h1,g__Paucilactobacillus|s__Lactobacillus hokkaidonensis
h7,g__Methanosarcina|s__lacustris
h9,g__Entomoplasma|s__melaleucae
h7,g__Corynebacterium|s__pseudotuberculosis
h7,g__Lactobacillus|s__terrae
h7,g__Pseudomonas|s__sp. 09C 129
h0,g__Pantoea|s__sp. SO10
h3,g__Enterococcus|s__saigonensis
p__Actinobacteria,g__Streptomyces|s__sp. 2323.1
h1,g__Shewanella|s__decolorationis
h5,g__Treponema|s__sp. OMZ 804
h9,g__Bacillus|s__sp. AM1(2019)
h5,g__Dehalogenimonas|s__sp. GP
h3,g__Sphingobium|s__sp. CAP-1
h5,g__Geobacillus|s__thermoleovorans
h9,g__Sinorhizobium|s__fredii
h4,g__Pseudomonas|s__syringae
h1,g__Shigella|s__sonnei
h1,g__Variovorax|s__sp. PAMC 28711
h9,g__Methylobacterium|s__oryzae
BiotinVitaminB7Consumptionimport,g__Ruminococcus|s__albus
h4,g__Campylobacter|s__subantarcticus
ThiamineVitaminB1ThiaminConsumptionimportproductionexport,g__Streptococcus|s__thermophilus
h4,g__Kosakonia|s__Enterobacteriaceae endosymbiont of Plateumaris pusilla
h0,g__Acinetobacter|s__bereziniae
h3,g__Haloquadratum|s__walsbyi
h7,g__Nitratifractor|s__salsuginis
h8,g__Actinoplanes|s__friuliensis
h9,g__Micromonospora|s__auratinigra
h4,g__Erysipelothrix|s__piscisicarius
h2,g__Streptomyces|s__albireticuli
h2,g__Hoeflea|s__sp. IMCC20628
h3,g__Caulobacter|s__henricii
h2,g__Arthrobacter|s__sp. TES
h3,g__Francisella|s__sp. Scap27
h4,g__Serratia|s__sp. SCBI
h7,g__Mycolicibacterium|s__psychrotolerans
p__Verrucomicrobia,g__Akkermansia|s__glycaniphila
p__Cyanobacteria,g__Microcystis|s__viridis
h4,g__Pediococcus|s__inopinatus
h5,g__Pantoea|s__dispersa
h6,g__Halomonas|s__sp. SF2003
h1,g__Exiguobacterium|s__sibiricum
h1,g__Aerococcus|s__viridans
h2,g__Streptomyces|s__sp. endophyte_N2
h1,g__Pandoraea|s__sputorum
h3,g__Maribacter|s__sp. 1_2014MBL_MicDiv
h4,g__Nocardioides|s__sp. dk884
h2,g__Spiroplasma|s__alleghenense
p__Proteobacteria,g__Klebsiella|s__sp.
h1,g__Janibacter|s__indicus
h5,g__Pseudomonas|s__asturiensis
h6,g__Haloferax|s__gibbonsii
h9,g__Bacillus|s__intestinalis
h4,g__Brevundimonas|s__sp. DS20
h1,g__Moraxella|s__bovis
h0,g__Aureitalea|s__sp. RR4-38
h2,g__Paracoccus|s__methylutens
h1,g__Lacticaseibacillus|s__Lactobacillus casei
h2,g__Conexivisphaera|s__calidus
h5,g__Pantoea|s__sp. CCBC3-3-1
h8,g__Variovorax|s__sp. PAMC28562
12-propanediolPropenediolPropyleneglycolR-12-propanediolR-propane-12-diolS-12-propanediolS-propane-12-diolProductionexport,g__Bacteroides|s__thetaiotaomicron
h9,g__Bibersteinia|s__trehalosi
h7,g__Sulfurovum|s__sp. NBC37-1
h6,g__Citrobacter|s__sp. TBCP-5362
h2,g__Sutterella|s__faecalis
D-FructoseFructoseConsumptionimport,g__Faecalibacterium|s__prausnitzii
h3,g__Pelolinea|s__submarina
h4,g__Loigolactobacillus|s__Lactobacillus backii
h5,g__Mycolicibacterium|s__chitae
h9,g__Candidatus Bipolaricaulis|s__anaerobius
333,g__Sulfurospirillum|s__sp. UCH001
h2,g__Pusillimonas|s__sp. T7-7
h9,g__Duncaniella|s__sp. B8
p__Actinobacteria,g__Pontimonas|s__salivibrio
p__Actinobacteria,g__Olsenella|s__sp. oral taxon 807
h2,g__Malaciobacter|s__Arcobacter marinus
h3,g__Oxalobacter|s__formigenes
LactoseConsumptionimport,g__Lactobacillus|s__helveticus
GlycerolConsumptionimport,g__Clostridium|s__butyricum
D-RiboseRiboseConsumptionimport,g__Acidovorax|s__avenae
h3,g__Sphingomonas|s__sp. YZ-8
p__Bacteroidetes,g__Aquimarina|s__sp. AD10
h6,g__Streptococcus|s__equi
h9,g__Egibacter|s__rhizosphaerae
h9,g__Streptomyces|s__sp. NA00687
h4,g__Brevibacterium|s__sp. WO024
h2,g__Streptococcus|s__pantholopis
h6,g__Hungateiclostridium|s__saccincola
p__Firmicutes,g__Paenibacillus|s__guangzhouensis
h6,g__Leuconostoc|s__kimchii
