parent,child
h4,g__Thermobispora|s__bispora
c__Gammaproteobacteria,g__Xanthomonas|s__fragariae
h4,g__Bacillus|s__freudenreichii
h9,g__Polynucleobacter|s__duraquae
h4,g__Rubrobacter|s__radiotolerans
h5,g__Methylovulum|s__psychrotolerans
h7,g__Cryptobacterium|s__curtum
246,g__Ruegeria|s__sp. THAF33
h4,g__Wenzhouxiangella|s__marina
h4,g__Pseudoalteromonas|s__carrageenovora
h5,g__Pseudogulbenkiania|s__sp. NH8B
h2,g__Streptomyces|s__qaidamensis
h1,g__Pseudarthrobacter|s__sp. YJ56
h3,g__Blattabacterium|s__sp. DPU
h8,g__Mycoplasma|s__nasistruthionis
h1,g__Streptococcus|s__pasteurianus
h2,g__Erwinia|s__tasmaniensis
h1,g__Enterococcus|s__sp. FDAARGOS_553
h1,g__Methylomonas|s__sp. DH-1
h4,g__Methanoculleus|s__marisnigri
h4,g__Sulfolobus|s__tengchongensis
h8,g__Paenibacillus|s__albus
c__Gammaproteobacteria,g__Frateuria|s__aurantia
h2,g__Planococcus|s__sp. PAMC 21323
h5,g__Pseudomonas|s__sp. WCS374
h4,g__Kitasatospora|s__albolonga
h3,g__Parasphingopyxis|s__algicola
h3,g__Corynebacterium|s__frankenforstense
h2,g__Pseudopropionibacterium|s__propionicum
h5,g__Rhodobacter|s__capsulatus
h5,g__Leuconostoc|s__sp. LN180020
h2,g__Streptomyces|s__sp. NA00687
h6,g__Biomaibacter|s__acetigenes
PhenylacetateProductionexport,g__Bacteroides|s__thetaiotaomicron
h6,g__Clostridium|s__acetobutylicum
h8,g__Enterocloster|s__clostridioformis
c__Bacilli,g__Aneurinibacillus|s__soli
h5,g__Liquorilactobacillus|s__Lactobacillus hordei
h5,g__Sphingobium|s__sp. MI1205
h1,g__Delftia|s__sp. HK171
h2,g__Acidilobus|s__sp. 7A
h3,g__Thermotoga|s__petrophila
h1,g__Citrobacter|s__sp. RHBSTW-00903
h5,g__Methanopyrus|s__kandleri
h7,g__Acidithiobacillus|s__thiooxidans
output,c__Nitrososphaeria
h8,g__Thermotoga|s__caldifontis
h4,g__Sulfitobacter|s__sp. SK025
output,D-FructuronateConsumptionimport
h4,g__Mycolicibacter|s__terrae
h6,g__Acinetobacter|s__nosocomialis
h3,g__Micrococcus|s__sp. V7
h6,g__Minicystis|s__rosea
h2,g__Clostridium|s__argentinense
h9,g__Altererythrobacter|s__marensis
c__Alphaproteobacteria,g__Azospirillum|s__lipoferum
h0,g__Algoriphagus|s__sanaruensis
h1,g__Corynebacterium|s__riegelii
h3,g__Nitratiruptor|s__sp. SB155-2
c__Bacilli,g__Geobacillus|s__genomosp. 3
c__Clostridia,g__Eubacterium|s__sp. NSJ-61
h6,g__Oxynema|s__sp. AP17
214,g__Mycobacterium|s__kansasii
c__Actinobacteria,g__Corynebacterium|s__genitalium
h1,g__Vibrio|s__astriarenae
h2,g__Alistipes|s__megaguti
h3,g__Microbacterium|s__sp. BH-3-3-3
h1,g__Rhizobium|s__sp. 11515TR
h4,g__Novosphingobium|s__sp. KA1
h8,g__Bartonella|s__birtlesii
232,g__Rubrobacter|s__xylanophilus
h4,g__Streptomyces|s__sp. 3211
h6,g__Nitratireductor|s__sp. SY7
h2,g__Mycobacteroides|s__immunogenum
h1,g__Helicobacter|s__cinaedi
h6,g__Haloplanus|s__rubicundus
h8,g__Acinetobacter|s__soli
h6,g__Rahnella|s__aquatilis
h3,g__Natranaerobius|s__thermophilus
h4,g__Candidatus Nitrotoga|s__sp. AM1P
h5,g__Legionella|s__hackeliae
h7,g__Thiobacillus|s__sp.
h7,g__Mycoplasma|s__sp. Phocoena C-264-GEN
h8,g__Bordetella|s__pseudohinzii
h5,g__Bacillus|s__mojavensis
h1,g__Sphingosinicella|s__microcystinivorans
h7,g__Limosilactobacillus|s__Lactobacillus frumenti
h6,g__Aliarcobacter|s__[Arcobacter] porcinus
h8,g__Paraglaciecola|s__mesophila
31,g__Neisseria|s__bacilliformis
h4,g__Streptomyces|s__sp. CB04723
h6,g__Actinomyces|s__sp. 432
h2,g__Candidatus Phytoplasma|s__Paulownia witches'-broom phytoplasma
h4,g__Corynebacterium|s__testudinoris
h6,g__Corynebacterium|s__sp. L2-79-05
h1,g__Mesorhizobium|s__sp. AA22
h6,g__Synechococcus|s__sp. A15-44
c__Gammaproteobacteria,g__Francisella|s__sp. Scap27
h9,g__Leucobacter|s__muris
h5,g__Hylemonella|s__gracilis
h9,g__Weissella|s__ceti
h3,g__Burkholderia|s__vietnamiensis
L-LactateS-LactateLactateD-LactateR-LactateConsumptionimportproductionexport,g__Desulfovibrio|s__piger
h5,g__Sphingomonas|s__sp. KC8
h6,g__Streptomyces|s__sp. PVA_94-07
h6,g__Bradyrhizobium|s__sp. CCBAU 53340
h3,g__Chryseobacterium|s__piperi
c__Alphaproteobacteria,g__Tateyamaria|s__omphalii
h7,g__Pseudolabrys|s__taiwanensis
h7,g__Marinococcus|s__halophilus
h6,g__Pseudomonas|s__sp. ATCC 43928
h6,g__Pseudomonas|s__sp. KUIN-1
h8,g__Thiomonas|s__intermedia
h0,g__Nocardioides|s__sp. CF8
h0,g__Pseudomonas|s__sp. Os17
h6,g__Pedobacter|s__sp. JBR3-12
h6,g__Cellulomonas|s__flavigena
h6,g__Paraburkholderia|s__graminis
h5,g__Mesoplasma|s__chauliocola
h6,g__Leptospira|s__biflexa
h7,g__Candidatus Phytoplasma|s__'Catharanthus roseus' aster yellows phytoplasma
h9,g__Lactobacillus|s__jensenii
h9,g__Rickettsia|s__amblyommatis
h1,g__Pantoea|s__eucalypti
h1,g__Beggiatoa|s__leptomitoformis
h1,g__Nocardioides|s__sp. dk884
h0,g__Gloeobacter|s__kilaueensis
h5,g__Lactobacillus|s__sp. wkB8
h3,g__Thiomonas|s__sp. X19
h9,g__Enterococcus|s__thailandicus
23,g__Parasedimentitalea|s__marina
ButyrateProductionexport,g__Eubacterium|s__limosum
h4,g__Mesorhizobium|s__sp. NZP2234
c__Actinobacteria,g__Corynebacterium|s__choanis
h1,g__Bifidobacterium|s__dentium
h8,g__Mesorhizobium|s__loti
h4,g__Streptomyces|s__sp. MOE7
h1,g__Nocardioides|s__sp. HY056
h3,g__Lactiplantibacillus|s__Lactobacillus paraplantarum
h7,g__Oceanimonas|s__sp. GK1
h4,g__Burkholderia|s__latens
h6,g__Limosilactobacillus|s__fermentum
h6,g__Leptospira|s__weilii
h6,g__Candidatus Cardinium|s__hertigii
h7,g__Phycisphaera|s__mikurensis
h5,g__Corynebacterium|s__genitalium
h5,g__Actinomyces|s__sp. 299
h9,g__Luteimonas|s__sp. MC1825
h4,g__Halomonas|s__sp. PGE1
h9,g__Erwinia|s__sp. QL-Z3
h3,g__Hymenobacter|s__sp. HDW8
h7,g__Francisella|s__sp. FSC1006
h7,g__Hafnia|s__alvei
h4,g__Xanthomonas|s__perforans
h5,g__Phocaeicola|s__dorei
h4,g__Antarcticibacterium|s__flavum
h3,g__Diaphorobacter|s__polyhydroxybutyrativorans
h4,g__Streptococcus|s__sobrinus
h3,g__Anseongella|s__ginsenosidimutans
h4,g__Streptomyces|s__cavourensis
h5,g__Lacipirellula|s__parvula
h4,g__Raoultella|s__Enterobacteriaceae endosymbiont of Donacia vulgaris
h6,g__Acidovorax|s__monticola
h3,g__Geobacter|s__sp. FeAm09
h9,g__Lactobacillus|s__kullabergensis
h3,g__Mesorhizobium|s__sp. M2A.F.Ca.ET.046.03.2.1
h1,g__Paraburkholderia|s__aromaticivorans
h1,g__Candidatus Bipolaricaulis|s__anaerobius
h9,g__Candidatus Babela|s__massiliensis
h0,g__Mycoplasma|s__sp. Pen4
h1,g__Roseivivax|s__sp. THAF197b
h4,g__Vibrio|s__panuliri
h1,g__Schlegelella|s__thermodepolymerans
h0,g__Auraticoccus|s__monumenti
h3,g__Sphingobacterium|s__thalpophilum
h0,g__Klebsiella|s__sp. PO552
h5,g__Stella|s__humosa
output,104
h5,g__Novosphingobium|s__tardaugens
h4,g__Cohnella|s__sp. MFER-1
h2,g__Mycolicibacterium|s__aurum
h5,g__Chromobacterium|s__haemolyticum
h1,g__Streptococcus|s__equinus
h0,g__Synechococcus|s__sp. A15-127
h2,g__Arthrobacter|s__crystallopoietes
h8,g__Aquicella|s__lusitana
h8,g__Citrobacter|s__amalonaticus
h0,g__Burkholderia|s__pseudomallei
h7,g__Solimonas|s__sp. K1W22B-7
h2,g__Pantoea|s__sp. SM3640
h4,g__Nocardia|s__asteroides
17,g__Libanicoccus|s__massiliensis
DextrinMaltotrioseMaltodextrinMaltohexaoseMaltotetraoseMaltooligosaccharideConsumptionimport,g__Clostridium|s__butyricum
h6,g__Arsenophonus|s__nasoniae
h9,g__Bifidobacterium|s__asteroides
MenaquinoneVitaminK2Consumptionimport,g__Mycobacterium|s__avium
c__Gammaproteobacteria,g__Pseudomonas|s__sp. Leaf58
h2,g__Cruoricaptor|s__ignavus
h4,g__Stenotrophomonas|s__sp. 364
h9,g__Caulobacter|s__flavus
h9,g__Citrobacter|s__sp. TSA-1
h2,g__Mycoplasma|s__pulmonis
h9,g__Acidihalobacter|s__aeolianus
h1,g__Cytophaga|s__hutchinsonii
h5,g__Rhizobium|s__pseudoryzae
h9,g__Acinetobacter|s__sp. ACNIH2
PantothenicacidVitaminB5PantothenateConsumptionimport,g__Streptococcus|s__infantis
h5,g__Sphingobium|s__sp. LF-16
c__Gammaproteobacteria,g__Raoultella|s__planticola
c__Methanomicrobia,g__Methanomethylovorans|s__hollandica
h6,g__Paraphotobacterium|s__marinum
h5,g__Chitinibacter|s__sp. 2T18
c__Gammaproteobacteria,g__Vibrio|s__crassostreae
h1,g__Borrelia|s__coriaceae
h4,g__Baekduia|s__soli
h5,g__Pseudomonas|s__sp. R76
h3,g__Citrobacter|s__sp. RHB35-C17
c__Actinobacteria,g__Candidatus Aquiluna|s__sp. UB-MaderosW2red
h5,g__Geobacter|s__bremensis
h7,g__Campylobacter|s__sp. RM16192
h0,g__Mariprofundus|s__ferrinatatus
h4,g__Thermosynechococcus|s__elongatus
h1,g__Erysipelothrix|s__sp. HDW6B
h3,g__Geobacillus|s__sp. 46C-IIa
h3,g__Stenotrophomonas|s__sp. ZAC14D2_NAIMI4_6
h5,g__Flavobacterium|s__sp. 140616W15
h7,g__Porphyrobacter|s__sp. CACIAM 03H1
h2,g__Rhizobium|s__sp. ACO-34A
h7,g__Psychrobacter|s__sp. DAB_AL32B
h5,g__Chromohalobacter|s__salexigens
h6,g__Planctomyces|s__sp. SH-PL62
H2HydrogenProductionexport,g__Anaerostipes|s__caccae
h6,g__Thermococcus|s__nautili
h5,g__Salinisphaera|s__sp. LB1
h9,g__Malaciobacter|s__Arcobacter halophilus
h3,g__Spiroplasma|s__alleghenense
h7,g__Brachybacterium|s__avium
h8,g__Aneurinibacillus|s__sp. XH2
h9,g__Gluconacetobacter|s__diazotrophicus
h3,g__Caproiciproducens|s__sp. 7D4C2
h9,g__Staphylococcus|s__condimenti
h2,g__Deinococcus|s__proteolyticus
h3,g__Caloramator|s__sp. E03
c__Alphaproteobacteria,g__Ruegeria|s__pomeroyi
h4,g__Enterocloster|s__clostridioformis
h8,g__Nitrososphaera|s__viennensis
output,L-GlutamineD-GlutamineGlutamineConsumptionimport
h6,g__Polaromonas|s__sp. E3S
h1,g__Lactobacillus|s__sp. CBA3606
h3,g__Methylocystis|s__bryophila
c__,g__Crocosphaera|s__subtropica
h5,g__Streptomyces|s__clavuligerus
h0,g__Anaerolinea|s__thermophila
h8,g__Candidatus Kinetoplastibacterium|s__crithidii
L-LactateS-LactateLactateD-LactateR-LactateProductionexport,g__Lactobacillus|s__amylolyticus
h7,g__Chryseobacterium|s__bernardetii
h2,g__Chlamydia|s__suis
NitricOxideNOProductionexport,g__Nitrosococcus|s__oceani
h1,g__Pusillimonas|s__sp. DMV24BSW_D
h5,g__Wolbachia|s__endosymbiont of Chrysomya megacephala
h1,g__Candidatus Puniceispirillum|s__marinum
h1,g__Halorhabdus|s__tiamatea
h1,g__Salinimonas|s__sp. G2-b
c__Actinobacteria,g__Gordonia|s__polyisoprenivorans
h7,g__Dehalobacter|s__sp. CF
h6,g__Pseudomonas|s__sp. LBUM920
h7,g__Marichromatium|s__purpuratum
h7,g__Rhizorhabdus|s__dicambivorans
h3,g__Pseudomonas|s__sp. 02C 26
AdenosylcobalaminVitaminB12CobamidecoenzymeCobIIalaminVitaminB12rCobIalaminVitaminB12sAquacobalaminCobalaminIIIConsumptionimport,g__Shigella|s__flexneri
h7,g__Clostridium|s__bornimense
h9,g__Streptomyces|s__cyaneochromogenes
h5,g__Staphylococcus|s__vitulinus
h5,g__Gramella|s__salexigens
h8,g__Octadecabacter|s__sp. SW4
h9,g__Synechococcus|s__sp. A18-40
h3,g__Streptococcus|s__anginosus
h7,g__Paenibacillus|s__brasilensis
h8,g__Micromonospora|s__terminaliae
h1,g__Acidaminococcus|s__intestini
h0,g__Rhodomicrobium|s__vannielii
h2,g__Thermococcus|s__sp. EXT12c
h7,g__Bartonella|s__sp. A1379B
h0,g__Salinivibrio|s__sp. YCSC6
h2,g__Egicoccus|s__halophilus
h9,g__Achromobacter|s__pestifer
1,g__Bacillus|s__glycinifermentans
h2,g__Flavobacterium|s__commune
c__Alphaproteobacteria,g__Gluconobacter|s__oxydans
h2,g__Sandaracinobacter|s__sp. M6
h6,g__Methanococcus|s__vannielii
h9,g__Campylobacter|s__armoricus
SulfateSulfuricacidConsumptionimport,g__Desulfotomaculum|s__reducens
h2,g__Tetrasphaera|s__sp. HKS02
h8,g__Paenibacillus|s__xylanexedens
h1,g__Actinoplanes|s__sp. N902-109
c__,g__Synechococcus|s__sp. PCC 7117
h2,g__Faecalibaculum|s__rodentium
h4,g__Leptolyngbya|s__boryana
h8,g__Streptococcus|s__sp. LPB0220
h2,g__Leclercia|s__secondary endosymbiont of Trabutina mannipara
h6,g__Streptomyces|s__sp. F12
h3,g__Lawsonella|s__clevelandensis
h4,g__Frateuria|s__aurantia
h7,g__Bacillus|s__atrophaeus
h3,g__Caldicellulosiruptor|s__lactoaceticus
c__Clostridia,g__Heliobacterium|s__modesticaldum
0,g__Pontibacter|s__sp. SGAir0037
h1,g__Streptomyces|s__sp. CRXT-G-22
h0,g__Chelativorans|s__sp. BNC1
c__Actinobacteria,g__Curtobacterium|s__sp. SGAir0471
h0,g__Romboutsia|s__hominis
h1,g__Sphingomonas|s__sp. HDW15C
h1,g__Candidatus Cytomitobacter|s__endosymbiont of Acanthamoeba sp. UWC8
h1,g__Herminiimonas|s__arsenicoxydans
h2,g__Halomonas|s__meridiana
h7,g__Corynebacterium|s__pseudotuberculosis
h4,g__Klebsiella|s__sp. WP8-S18-ESBL-06
h2,g__Chryseobacterium|s__sp. F5649
h0,g__Oerskovia|s__sp. KBS0722
h3,g__Microbacterium|s__sp. YJN-G
h3,g__Veillonella|s__dispar
h3,g__Bacillus|s__sp. N1-1
h1,g__Agromyces|s__sp. KACC 19306
h7,g__Enterobacter|s__sp. RHBSTW-00994
h7,g__Citrobacter|s__sp. RHBSTW-01044
h8,g__Streptomyces|s__sp. NA04227
h0,g__Salinibacterium|s__sp. ZJ450
h5,g__Nitrosomonas|s__ureae
c__Halobacteria,g__Halobacterium|s__sp. DL1
h4,g__Rufibacter|s__sp. DG15C
LactoseConsumptionimport,g__Bifidobacterium|s__pseudocatenulatum
h1,g__Mycoplasma|s__canis
L-AspartateAspartateD-AspartateConsumptionimport,g__Clostridium|s__tetani
h5,g__Liberibacter|s__Candidatus Liberibacter solanacearum
h7,g__Microbulbifer|s__sp. THAF38
h9,g__Nonomuraea|s__gerenzanensis
h1,g__Acetobacter|s__orientalis
h1,g__Mycolicibacterium|s__insubricum
h5,g__Tolypothrix|s__sp. PCC 7910
h6,g__Streptococcus|s__sp. NCTC 11567
h6,g__Tistrella|s__mobilis
h7,g__Jonesia|s__denitrificans
h9,g__Mucilaginibacter|s__xinganensis
h4,g__Helicobacter|s__himalayensis
h2,g__Avibacterium|s__paragallinarum
h7,g__Catenulispora|s__acidiphila
h5,g__Deinococcus|s__wulumuqiensis
h7,g__Synechococcus|s__sp. PCC 73109
h7,g__Synechococcus|s__sp. TAK9802
h5,g__Ferrovibrio|s__terrae
h9,g__Labrenzia|s__sp. CP4
h9,g__Methanoculleus|s__bourgensis
h5,g__Providencia|s__heimbachae
h7,g__Candidatus Planktophila|s__limnetica
h1,g__Francisella|s__noatunensis
h2,g__Radiobacillus|s__deserti
h3,g__Bacillus|s__sp. AM1(2019)
h5,g__Streptomyces|s__sp. F8
h9,g__Coxiella|s__Candidatus Coxiella mudrowiae
D-SorbitolD-GlucitolSorbitolGlucitolL-SorbitolSorbitolConsumptionimport,g__Shigella|s__flexneri
CellobioseConsumptionimport,g__Roseburia|s__intestinalis
h3,g__Austwickia|s__chelonae
h9,g__Methylobacterium|s__aquaticum
h5,g__Sphingobium|s__herbicidovorans
h2,g__Streptomyces|s__seoulensis
36,g__Mycoplasma|s__iowae
CO2Productionexport,g__Mycoplasma|s__fermentans
h0,g__Candidatus Arthromitus|s__sp. SFB-mouse
h5,g__Blastococcus|s__saxobsidens
h7,g__Agrobacterium|s__fabrum
h7,g__Pseudomonas|s__sp. Lz4W
c__Alphaproteobacteria,g__Aureimonas|s__altamirensis
h5,g__Amniculibacterium|s__sp. G2-70
h6,g__Nocardia|s__wallacei
h3,g__Sulfodiicoccus|s__acidiphilus
h4,g__Acaryochloris|s__marina
6,g__Denitratisoma|s__sp. DHT3
h1,g__Synechococcus|s__sp. KORDI-52
h1,g__Candidatus Mikella|s__endobia
h8,g__Anaerolinea|s__thermophila
h9,g__Lactobacillus|s__helveticus
h7,g__Natronomonas|s__moolapensis
h5,g__Mycolicibacterium|s__smegmatis
h5,g__Commensalibacter|s__sp. AMU001
h7,g__Legionella|s__sp. TUM19329
c__Bacilli,g__Bacillus|s__sp. Cs-700
h7,g__Sinorhizobium|s__fredii
h0,g__Cohnella|s__candidum
h8,g__Desulfitobacterium|s__dehalogenans
h2,g__Candidatus Blochmannia|s__chromaiodes
h8,g__Vibrio|s__aquimaris
h8,g__Methyloversatilis|s__sp. RAC08
h2,g__Streptomyces|s__sp. S4.7
h3,g__Arsenophonus|s__Candidatus Arsenophonus lipoptenae
22,g__Acidaminococcus|s__intestini
9,g__Paenisporosarcina|s__antarctica
h8,g__Lacticaseibacillus|s__paracasei
h4,g__Saccharopolyspora|s__sp. ASAGF58
h8,g__Sphingobium|s__herbicidovorans
h9,g__Wolbachia|s__endosymbiont of Bemisia tabaci
h0,g__Vibrio|s__ponticus
h6,g__Planococcus|s__rifietoensis
h9,g__Citrobacter|s__sp. RHBSTW-00570
c__Actinobacteria,g__Streptomyces|s__sp. M56
c__Actinobacteria,g__Saccharomonospora|s__azurea
c__Halobacteria,g__Halanaeroarchaeum|s__sulfurireducens
h1,g__Planococcus|s__kocurii
h9,g__Thermus|s__brockianus
h1,g__Methanocella|s__conradii
c__Clostridia,g__Halothermothrix|s__orenii
h4,g__Wenyingzhuangia|s__fucanilytica
h5,g__Helicobacter|s__typhlonius
h5,g__Streptomyces|s__sp. 14R-10
h8,g__Marivirga|s__tractuosa
c__Alphaproteobacteria,g__Mesorhizobium|s__sp. M3A.F.Ca.ET.080.04.2.1
h8,g__Shewanella|s__khirikhana
h8,g__Exiguobacterium|s__acetylicum
h4,g__Flavobacterium|s__branchiophilum
h1,g__Pandoraea|s__pnomenusa
h2,g__Parageobacillus|s__toebii
h9,g__Nonlabens|s__sp. MB-3u-79
c__Thermococci,g__Thermococcus|s__sp. AM4
h9,g__Citrobacter|s__sp. CFNIH10
h3,g__Caldivirga|s__maquilingensis
h1,g__Fibrella|s__aestuarina
h2,g__Arthrobacter|s__sp. 24S4-2
h7,g__Sphingopyxis|s__sp. MG
h8,g__Monaibacterium|s__sp. ALG8
h4,g__Pseudomonas|s__denitrificans (nom. rej.)
c__Bacilli,g__Macrococcus|s__canis
h7,g__Acidovorax|s__sp. 1608163
h0,g__Muriicola|s__sp. MMS17-SY002
h0,g__Streptomyces|s__lydicus
h2,g__Acinetobacter|s__sp. TTH0-4
h6,g__Curtobacterium|s__sp. MR_MD2014
h3,g__Sphingopyxis|s__sp. OPL5
h4,g__Lysobacter|s__oculi
h8,g__Streptomyces|s__sp. CMB-StM0423
h5,g__Pseudolabrys|s__sp. FHR47
h5,g__Thermus|s__scotoductus
c__Deltaproteobacteria,g__Desulfovibrio|s__carbinolicus
h8,g__Methanothermobacter|s__sp. KEPCO-1
h8,g__Bacillus|s__subtilis
h9,g__Coxiella|s__endosymbiont of Amblyomma americanum
h6,g__Sulfolobus|s__islandicus
c__Betaproteobacteria,g__Sutterella|s__faecalis
h1,g__Micromonospora|s__chokoriensis
h2,g__Croceicoccus|s__marinus
h3,g__Marinobacter|s__sp. JH2
h3,g__Liberibacter|s__Candidatus Liberibacter asiaticus
h4,g__Acidovorax|s__cattleyae
h2,g__Paenibacillus|s__beijingensis
h2,g__Shigella|s__flexneri
h7,g__Acinetobacter|s__calcoaceticus
h8,g__Sphingobium|s__fuliginis
h2,g__Streptomyces|s__sp. Rer75
h9,g__Streptomyces|s__sp. RPA4-2
h0,g__Cellulomonas|s__sp. Y8
h0,g__Mycolicibacterium|s__frederiksbergense
h1,g__Mycoplasma|s__mycoides
h6,g__Streptococcus|s__sp. HSISB1
c__Actinobacteria,g__Streptomyces|s__ambofaciens
h0,g__Synechocystis|s__sp. PCC 6714
h5,g__Paenibacillus|s__barcinonensis
h0,g__Sulfolobus|s__neozealandicus
h2,g__Sulfuriferula|s__plumbiphila
h4,g__Citrobacter|s__sp. RHBSTW-00229
h2,g__Candidatus Planktophila|s__dulcis
h4,g__Dialister|s__massiliensis
h1,g__Chromobacterium|s__sp. ATCC 53434
h6,g__Chitinibacter|s__fontanus
h7,g__Pectobacterium|s__parmentieri
h7,g__Swingsia|s__sp. F3b2
h6,g__Neorhizobium|s__sp. NCHU2750
h8,g__Mycoplasma|s__sp. Pen4
h1,g__Pseudomonas|s__sp. DTU12.1
h2,g__Wolbachia|s__pipientis
h1,g__Ehrlichia|s__sp. HF
h8,g__Paenibacillus|s__xylanilyticus
h7,g__Mucilaginibacter|s__rubeus
h4,g__Streptococcus|s__halotolerans
h8,g__Thermus|s__aquaticus
h1,g__Comamonas|s__serinivorans
h5,g__Bosea|s__sp. PAMC 26642
h5,g__Dickeya|s__sp. NCPPB 3274
h1,g__Paraglaciecola|s__psychrophila
h4,g__Paracoccus|s__aminophilus
h4,g__Pyrobaculum|s__islandicum
h5,g__Leucobacter|s__denitrificans
h6,g__Thermanaerovibrio|s__velox
h0,g__Aureimonas|s__sp. LMG 31693
h6,g__Phaeobacter|s__porticola
h5,g__Celeribacter|s__ethanolicus
h9,g__Leptotrichia|s__hofstadii
h2,g__Streptomyces|s__glomeroaurantiacus
h0,g__Malaciobacter|s__Arcobacter molluscorum
1,g__Biomaibacter|s__acetigenes
h5,g__Micromonospora|s__sp. HM134
h6,g__Serratia|s__sp. 3ACOL1
h3,g__Bifidobacterium|s__actinocoloniiforme
h4,g__Thermococcus|s__piezophilus
h5,g__Borreliella|s__valaisiana
h0,g__Bacillus|s__marisflavi
h0,g__Phreatobacter|s__stygius
c__Erysipelotrichia,g__Turicibacter|s__sp. H121
h1,g__Ethanoligenens|s__harbinense
h4,g__Methanosarcina|s__sp. Kolksee
h7,g__Candidatus Methylopumilus|s__rimovensis
h1,g__Thermoplasma|s__acidophilum
h1,g__Bacillus|s__sp. OxB-1
h2,g__Bartonella|s__australis
h2,g__Cupriavidus|s__campinensis
h3,g__Alteromonas|s__sp. RW2A1
h4,g__Staphylococcus|s__lentus
PropanoatePropionateProductionexport,g__Bacteroides|s__ovatus
c__Gammaproteobacteria,g__Halorhodospira|s__halochloris
h7,g__Friedmanniella|s__sagamiharensis
h3,g__Gloeobacter|s__kilaueensis
h3,g__Paenibacillus|s__larvae
h7,g__Methanosarcina|s__sp. WH1
h8,g__Serratia|s__grimesii
c__,g__Sphaerospermopsis|s__kisseleviana
h4,g__Leuconostoc|s__sp. LN180020
h9,g__Thalassotalea|s__crassostreae
h8,g__Herbaspirillum|s__rubrisubalbicans
h9,g__Francisella|s__sp. LA112445
c__Alphaproteobacteria,g__Gluconacetobacter|s__diazotrophicus
h6,g__Geobacter|s__bemidjiensis
h7,g__Aeromicrobium|s__erythreum
h2,g__Pseudodesulfovibrio|s__indicus
h4,g__Parvularcula|s__bermudensis
h5,g__Pelistega|s__sp. NLN63
h4,g__Parasphingopyxis|s__algicola
h7,g__Spirosoma|s__aerolatum
h4,g__Desulfotomaculum|s__ruminis
h8,g__Pontimonas|s__salivibrio
h1,g__Veillonella|s__dispar
h3,g__Chryseobacterium|s__sp. 6424
h1,g__Gallionella|s__capsiferriformans
h0,g__Rhodococcus|s__opacus
h9,g__Legionella|s__spiritensis
h3,g__Erythrobacter|s__atlanticus
h6,g__Corynebacterium|s__diphtheriae
h4,g__Acetobacterium|s__woodii
h5,g__Entomoplasma|s__luminosum
h6,g__Pseudoalteromonas|s__spongiae
h7,g__Arsenophonus|s__Candidatus Arsenophonus lipoptenae
h8,g__Collimonas|s__pratensis
h4,g__Paracoccus|s__mutanolyticus
h8,g__Paenibacillus|s__sp. FSL P4-0081
h9,g__Klebsiella|s__sp.
h7,g__Enterobacter|s__cancerogenus
h2,g__Amycolatopsis|s__methanolica
11,g__Arachidicoccus|s__soli
h0,g__Streptococcus|s__sp. 'group B'
