barcode,output
SAMN06110431.s,0
SAMEA2467011.s,0
SAMN00045653.s,0
SAMN05414953.s,0
SAMEA2737759.s,0
SAMN00147938.s,0
SAMEA2737802.s,0
SAMN00076282.s,0
SAMEA3664961.s,0
SAMEA2580152.s,0
SAMEA2042115.s,0
SAMN04329811.s,0
SAMN06110050.s,0
SAMN06110337.s,0
SAMEA104142235.s,0
SAMEA3664557.s,0
SAMN05414987.s,0
SAMEA104142365.s,0
SAMEA2162811.s,0
SAMEA3664942.s,0
SAMN06110128.s,0
SAMEA3951609.s,0
SAMN06110270.s,0
SAMN06110389.s,0
SAMEA3136645.s,0
SAMN06110028.s,0
SAMN07424409.s,0
SAMN06110377.s,0
SAMEA3664658.s,0
SAMN00085245.s,0
SAMN06110406.s,0
SAMN06220509.s,0
SAMEA3665073.s,0
SAMEA3664894.s,0
SAMEA2737693.s,0
SAMN06110181.s,0
SAMEA3664705.s,0
SAMEA3665182.s,0
SAMEA2146009.s,0
SAMN00096542.s,0
SAMN06110217.s,0
SAMEA3708700.s,0
SAMN05414963.s,0
SAMEA3665231.s,0
SAMEA3665163.s,0
SAMN00077487.s,0
SAMN06110008.s,0
SAMN06110138.s,0
SAMN06110094.s,0
SAMEA3665017.s,0
SAMN00069721.s,0
SAMEA2467022.s,0
SAMEA104142342.s,0
SAMEA3664754.s,0
SAMEA3665265.s,0
SAMN00067023.s,0
SAMN00715176.s,0
SAMEA2148412.s,0
SAMEA3664535.s,0
SAMEA2055293.s,0
SAMEA2580244.s,0
SAMN00039351.s,0
SAMN06110233.s,0
SAMEA3664833.s,0
SAMEA3664759.s,0
SAMEA3664764.s,0
SAMEA3665267.s,0
SAMN00045606.s,0
SAMEA3664814.s,0
SAMEA2579933.s,0
SAMN06110215.s,0
SAMEA3951620.s,0
SAMN00036796.s,0
SAMN00034694.s,0
SAMN05414975.s,0
SAMEA4431976.s,0
SAMEA2580132.s,0
SAMN06110287.s,0
SAMEA3646690.s,0
SAMEA2581892.s,0
SAMEA2055277.s,0
SAMEA3664550.s,0
SAMEA104142366.s,0
SAMEA3708602.s,0
SAMN00095092.s,0
SAMEA3646672.s,0
SAMEA3664890.s,0
SAMEA3708600.s,0
SAMN07199982.s,0
SAMN00715254.s,0
SAMEA104142144.s,0
SAMEA3664503.s,0
SAMEA3664839.s,0
SAMEA3664546.s,0
SAMN06110180.s,0
SAMEA2161311.s,0
SAMEA2737861.s,0
SAMEA3708559.s,0
SAMEA2581920.s,0
SAMEA3665158.s,0
SAMEA2737866.s,0
SAMEA4431957.s,0
SAMEA3664496.s,0
SAMN00065654.s,0
SAMEA3708548.s,0
SAMN01760977.s,0
SAMEA3646751.s,0
SAMEA3664815.s,0
SAMEA2581895.s,0
SAMEA3664639.s,0
SAMN06110140.s,0
SAMEA2581999.s,0
SAMN06110034.s,0
SAMN06110165.s,0
SAMN06110244.s,0
SAMN06110189.s,0
SAMEA3665198.s,0
SAMEA3708615.s,0
SAMEA3664939.s,0
SAMEA53400418.s,0
SAMN06110120.s,0
SAMEA3664896.s,0
SAMN06110468.s,0
SAMN06110139.s,0
SAMN06110016.s,0
SAMEA3664879.s,0
SAMEA3665186.s,0
SAMEA3664867.s,0
SAMEA3665254.s,0
SAMEA2581965.s,0
SAMEA3664882.s,0
SAMEA3664792.s,0
SAMEA1972229.s,0
SAMEA3665245.s,0
SAMEA3664972.s,0
SAMEA2466909.s,0
SAMEA3879564.s,0
SAMEA2466982.s,0
SAMN06110386.s,0
SAMEA2581957.s,0
SAMEA3664744.s,0
SAMEA3665100.s,0
SAMEA3664564.s,0
SAMN06110306.s,0
SAMN00142398.s,0
SAMN06110257.s,0
SAMEA53410918.s,0
SAMEA3664968.s,0
SAMEA3665174.s,0
SAMN06110057.s,0
SAMEA2580112.s,0
SAMN03283285.s,0
SAMEA3951617.s,0
SAMEA3665185.s,0
SAMEA2580236.s,0
SAMEA3664813.s,0
SAMN06110448.s,0
SAMN00037553.s,0
SAMN00087461.s,0
SAMEA3665129.s,0
SAMEA3646683.s,0
SAMN05414927.s,0
SAMEA3665001.s,0
SAMEA2737831.s,0
SAMN06110179.s,0
SAMEA3664591.s,0
SAMEA3665057.s,0
SAMEA2579976.s,0
SAMEA3664501.s,0
SAMEA2162573.s,0
SAMN06110267.s,0
SAMEA3665136.s,0
SAMN06110248.s,0
SAMN00040248.s,0
SAMEA3664994.s,0
SAMN00082064.s,0
SAMEA104142126.s,1
SAMEA104142147.s,1
SAMEA104142149.s,1
SAMEA104142151.s,1
SAMEA104142152.s,1
SAMEA104142214.s,1
SAMEA104142220.s,1
SAMEA104142359.s,1
SAMEA1906438.s,1
SAMEA1906470.s,1
SAMEA1906486.s,1
SAMEA1906493.s,1
SAMEA1906503.s,1
SAMEA1906522.s,1
SAMEA1964687.s,1
SAMEA1965112.s,1
SAMEA1965384.s,1
SAMEA1965767.s,1
SAMEA1967319.s,1
SAMEA1969296.s,1
SAMEA1969417.s,1
SAMEA1970858.s,1
SAMEA1972159.s,1
SAMEA1972188.s,1
SAMEA1972381.s,1
SAMEA2042219.s,1
SAMEA2042363.s,1
SAMEA2042427.s,1
SAMEA2042428.s,1
SAMEA2042429.s,1
SAMEA2042430.s,1
SAMEA2042433.s,1
SAMEA2042435.s,1
SAMEA2042436.s,1
SAMEA2042437.s,1
SAMEA2042438.s,1
SAMEA2042493.s,1
SAMEA2042496.s,1
SAMEA2042498.s,1
SAMEA2042499.s,1
SAMEA2042502.s,1
SAMEA2042505.s,1
SAMEA2042553.s,1
SAMEA2042557.s,1
SAMEA2042558.s,1
SAMEA2042563.s,1
SAMEA2042566.s,1
SAMEA2042567.s,1
SAMEA2042568.s,1
SAMEA2042585.s,1
SAMEA2042602.s,1
SAMEA2042603.s,1
SAMEA2042606.s,1
SAMEA2042611.s,1
SAMEA2042613.s,1
SAMEA2042614.s,1
SAMEA2042616.s,1
SAMEA2042617.s,1
SAMEA2042643.s,1
SAMEA2042644.s,1
SAMEA2042645.s,1
SAMEA2042646.s,1
SAMEA2042647.s,1
SAMEA2042649.s,1
SAMEA2042650.s,1
SAMEA2042653.s,1
SAMEA2042655.s,1
SAMEA2042656.s,1
SAMEA2042658.s,1
SAMEA2042730.s,1
SAMEA2042733.s,1
SAMEA2042736.s,1
SAMEA2042738.s,1
SAMEA2042739.s,1
SAMEA2042740.s,1
SAMEA2142970.s,1
SAMEA2143074.s,1
SAMEA2143633.s,1
SAMEA2143863.s,1
SAMEA2144223.s,1
SAMEA2144304.s,1
SAMEA2144396.s,1
SAMEA2144555.s,1
SAMEA2144980.s,1
SAMEA2146477.s,1
SAMEA2146600.s,1
SAMEA2147326.s,1
SAMEA2148755.s,1
SAMEA2149068.s,1
SAMEA2149636.s,1
SAMEA2149794.s,1
SAMEA2150168.s,1
SAMEA2150234.s,1
SAMEA2150563.s,1
SAMEA2151007.s,1
SAMEA2151010.s,1
SAMEA2151383.s,1
SAMEA2151633.s,1
SAMEA2151703.s,1
SAMEA2152064.s,1
SAMEA2152443.s,1
SAMEA2152531.s,1
SAMEA2152938.s,1
SAMEA2153005.s,1
SAMEA2153251.s,1
SAMEA2153397.s,1
SAMEA2154015.s,1
SAMEA2154516.s,1
SAMEA2155093.s,1
SAMEA2155520.s,1
SAMEA2155758.s,1
SAMEA2156032.s,1
SAMEA2157850.s,1
SAMEA2157977.s,1
SAMEA2158062.s,1
SAMEA2158190.s,1
SAMEA2158468.s,1
SAMEA2158769.s,1
SAMEA2159032.s,1
SAMEA2159102.s,1
SAMEA2159162.s,1
SAMEA2159202.s,1
SAMEA2159338.s,1
SAMEA2159529.s,1
SAMEA2159881.s,1
SAMEA2159974.s,1
SAMEA2160152.s,1
SAMEA2160490.s,1
SAMEA2160902.s,1
SAMEA2160998.s,1
SAMEA2161372.s,1
SAMEA2161597.s,1
SAMEA2161897.s,1
SAMEA2162036.s,1
SAMEA2162475.s,1
SAMEA2162640.s,1
SAMEA2163432.s,1
SAMEA2163583.s,1
SAMEA2466891.s,1
SAMEA2466894.s,1
SAMEA2466896.s,1
SAMEA2466978.s,1
SAMEA2467032.s,1
SAMEA2467040.s,1
SAMEA2737671.s,1
SAMEA2737690.s,1
SAMEA2737709.s,1
SAMEA2737805.s,1
SAMEA3136623.s,1
SAMEA3136624.s,1
SAMEA3136625.s,1
SAMEA3136626.s,1
SAMEA3136627.s,1
SAMEA3136628.s,1
SAMEA3136630.s,1
SAMEA3136648.s,1
SAMEA3136649.s,1
SAMEA3136651.s,1
SAMEA3136652.s,1
SAMEA3136653.s,1
SAMEA3136654.s,1
SAMEA3136655.s,1
SAMEA3136656.s,1
SAMEA3136657.s,1
SAMEA3136658.s,1
SAMEA3136666.s,1
SAMEA3136678.s,1
SAMEA3178940.s,1
SAMEA3708458.s,1
SAMEA3708459.s,1
SAMEA3708460.s,1
SAMEA3708461.s,1
SAMEA3708462.s,1
SAMEA3708463.s,1
SAMEA3708464.s,1
SAMEA3708465.s,1
SAMEA3708466.s,1
SAMEA3708468.s,1
SAMEA3708469.s,1
SAMEA3708470.s,1
SAMEA3708471.s,1
SAMEA3708472.s,1
SAMEA3708473.s,1
SAMEA3708476.s,1
SAMEA3708477.s,1
SAMEA3708479.s,1
SAMEA3708480.s,1
SAMEA3708481.s,1
SAMEA3708482.s,1
SAMEA3708483.s,1
SAMEA3708484.s,1
SAMEA3708485.s,1
SAMEA3708486.s,1
SAMEA3708487.s,1
SAMEA3708488.s,1
SAMEA3708489.s,1
SAMEA3708491.s,1
SAMEA3708492.s,1
SAMEA3708494.s,1
SAMEA3708495.s,1
SAMEA3708496.s,1
SAMEA3708497.s,1
SAMEA3708498.s,1
SAMEA3708499.s,1
SAMEA3708500.s,1
SAMEA3708501.s,1
SAMEA3708502.s,1
SAMEA3708503.s,1
SAMEA3708504.s,1
SAMEA3708505.s,1
SAMEA3708506.s,1
SAMEA3708507.s,1
SAMEA3708508.s,1
SAMEA3708509.s,1
SAMEA3708510.s,1
SAMEA3708511.s,1
SAMEA3708512.s,1
SAMEA3708514.s,1
SAMEA3708515.s,1
SAMEA3708516.s,1
SAMEA3708517.s,1
SAMEA3708518.s,1
SAMEA3708519.s,1
SAMEA3708520.s,1
SAMEA3708521.s,1
SAMEA3708522.s,1
SAMEA3708523.s,1
SAMEA3708524.s,1
SAMEA3708525.s,1
SAMEA3708526.s,1
SAMEA3708527.s,1
SAMEA3708528.s,1
SAMEA3708529.s,1
SAMEA3708530.s,1
SAMEA3708531.s,1
SAMEA3708532.s,1
SAMEA3708533.s,1
SAMEA3708534.s,1
SAMEA3708535.s,1
SAMEA3708637.s,1
SAMEA3708639.s,1
SAMEA3708642.s,1
SAMEA3708643.s,1
SAMEA3708645.s,1
SAMEA3708646.s,1
SAMEA3708647.s,1
SAMEA3708648.s,1
SAMEA3708649.s,1
SAMEA3708650.s,1
SAMEA3708651.s,1
SAMEA3708652.s,1
SAMEA3708674.s,1
SAMEA3708675.s,1
SAMEA3708676.s,1
SAMEA3708677.s,1
SAMEA3708678.s,1
SAMEA3708679.s,1
SAMEA3708680.s,1
SAMEA3708681.s,1
SAMEA3708682.s,1
SAMEA3708683.s,1
SAMEA3708684.s,1
SAMEA3708685.s,1
SAMEA3708686.s,1
SAMEA3708687.s,1
SAMEA3708688.s,1
SAMEA3708689.s,1
SAMEA3708690.s,1
SAMEA3708691.s,1
SAMEA3708692.s,1
SAMEA3708693.s,1
SAMEA3708694.s,1
SAMEA3879513.s,1
SAMEA3879514.s,1
SAMEA3879524.s,1
SAMEA3879526.s,1
SAMEA3879553.s,1
SAMEA3879580.s,1
SAMEA3879589.s,1
SAMEA3879606.s,1
SAMEA3888894.s,1
SAMEA3888896.s,1
SAMEA3888898.s,1
SAMEA3888901.s,1
SAMEA3888902.s,1
SAMEA3888903.s,1
SAMEA3888904.s,1
SAMEA3888905.s,1
SAMEA3888911.s,1
SAMEA3888913.s,1
SAMEA3888917.s,1
SAMEA3888918.s,1
SAMEA3888920.s,1
SAMEA4431984.s,1
SAMN00715203.s,1
SAMN00791929.s,1
SAMN03283248.s,1
SAMN03283263.s,1
SAMN03283269.s,1
SAMN03922450.s,1
SAMN03922451.s,1
SAMN03922452.s,1
SAMN03922453.s,1
SAMN03922454.s,1
SAMN03922455.s,1
SAMN03922456.s,1
SAMN03922457.s,1
SAMN03922458.s,1
SAMN03922459.s,1
SAMN03922460.s,1
SAMN03922461.s,1
SAMN03922462.s,1
SAMN03922463.s,1
SAMN04209220.s,1
SAMN04209221.s,1
SAMN04209223.s,1
SAMN04209231.s,1
SAMN04209232.s,1
SAMN04209237.s,1
SAMN04209244.s,1
SAMN04209247.s,1
SAMN04209251.s,1
SAMN04209252.s,1
SAMN04209254.s,1
