parent,child
h1,g__Empedobacter|s__brevis
h1,g__Acinetobacter|s__tandoii
h3,g__Blautia|s__producta
h0,g__Sphingomonas|s__lacunae
h4,g__Geminocystis|s__herdmanii
h5,g__Pseudoalteromonas|s__agarivorans
h6,g__Sphingobium|s__yanoikuyae
h2,g__Rhodococcus|s__pyridinivorans
h8,g__Pseudomonas|s__plecoglossicida
h4,g__Bacillus|s__safensis
k__Bacteria,g__Carnobacterium|s__inhibens
h4,g__Fusobacterium|s__ulcerans
h8,g__Bradyrhizobium|s__sp. 6(2017)
h2,g__Brachyspira|s__pilosicoli
h5,g__Cupriavidus|s__taiwanensis
h7,g__Ehrlichia|s__sp. HF
h9,g__Sphingobacterium|s__thalpophilum
h9,g__Streptomyces|s__fulvissimus
h5,g__Gemmatirosa|s__kalamazoonesis
h3,g__Sinorhizobium|s__medicae
h7,g__Luteimonas|s__chenhongjianii
h7,g__Pedobacter|s__sp.
h5,g__Stenotrophomonas|s__sp. ESTM1D_MKCIP4_1
h8,g__Inhella|s__inkyongensis
h1,g__Streptomyces|s__olivaceus
h4,g__Nostoc|s__sp. NIES-2111
h1,g__Shewanella|s__sp. Scap07
k__Bacteria,g__Burkholderia|s__sp. MSMB0856
13,g__Streptococcus|s__sp. oral taxon 061
h8,g__Dysosmobacter|s__welbionis
h4,g__Polynucleobacter|s__difficilis
PyridoxalVitaminB6PyridoxinePyridoxamineVitaminB6Consumptionimport,g__Lactococcus|s__lactis
h1,g__Streptomyces|s__pluripotens
D-XyloseXyloseConsumptionimport,g__Parabacteroides|s__distasonis
h6,g__Stenotrophomonas|s__maltophilia
h0,g__Spiroplasma|s__corruscae
h1,g__Thermodesulfobacterium|s__sp. TA1
h2,g__Sulfurimonas|s__gotlandica
h2,g__Corynebacterium|s__imitans
AcetateProductionexport,g__Clostridium|s__perfringens
h8,g__Acinetobacter|s__tandoii
h5,g__Elizabethkingia|s__anophelis
h6,g__Sphingorhabdus|s__sp. SMR4y
h3,g__Pseudomonas|s__protegens
h3,g__Brevibacillus|s__laterosporus
h8,g__Campylobacter|s__geochelonis
h3,g__Sinorhizobium|s__sp. LM21
h4,g__Helicobacter|s__sp. MIT 01-6242
h6,g__Serratia|s__sp. FDAARGOS_506
k__Bacteria,g__Thermoanaerobacterium|s__sp. RBIITD
h4,g__Pseudomonas|s__sp. S09G 359
h3,g__Pseudomonas|s__lurida
h7,g__Neokomagataea|s__tanensis
k__Bacteria,g__Corynebacterium|s__sp. 2039
k__Bacteria,g__Sulfurovum|s__lithotrophicum
k__Bacteria,g__Maribacter|s__sp. MJ134
h1,g__Gordonia|s__rubripertincta
h3,g__Dickeya|s__chrysanthemi
h1,g__Yersinia|s__intermedia
h4,g__Kaistella|s__daneshvariae
h8,g__Mogibacterium|s__diversum
h7,g__Shewanella|s__baltica
h9,g__Dichelobacter|s__nodosus
h5,g__Halarchaeum|s__sp. CBA1220
h8,g__Halomonas|s__sp. PA16-9
h1,g__Arcobacter|s__cryaerophilus
h1,g__Nissabacter|s__sp. SGAir0207
h4,g__Buttiauxella|s__agrestis
h8,g__Chlorobaculum|s__parvum
h8,g__Streptococcus|s__sp. 'group B'
h2,g__Phycisphaera|s__mikurensis
h9,g__Aeromicrobium|s__choanae
k__Bacteria,g__Acinetobacter|s__lactucae
k__Bacteria,g__Acinetobacter|s__sp. WCHA55
L-MalateS-MalateL-MalicacidMalateD-MalateR-MalateConsumptionimport,g__Methylobacterium|s__nodulans
h6,g__Yersinia|s__bercovieri
h4,g__Desulfovibrio|s__desulfuricans
h6,g__Desulfitobacterium|s__hafniense
h8,g__Gramella|s__sp. MAR_2010_147
h1,g__Methylococcus|s__capsulatus
h3,g__Sphingopyxis|s__sp. MG
h8,g__Plesiomonas|s__shigelloides
k__Bacteria,g__Comamonas|s__sp. 7D-2
h9,g__Actinomyces|s__sp. oral taxon 169
h9,g__Mycoplasma|s__crocodyli
h5,g__Methylobacterium|s__sp. XJLW
h4,g__Acetobacterium|s__woodii
h7,g__Synechococcus|s__sp. RS9909
h7,g__Sphingomonas|s__sp.
h3,g__Pseudoalteromonas|s__sp. Xi13
D-GlucosamineGlucosamineConsumptionimport,g__Bacteroides|s__thetaiotaomicron
h4,g__Dickeya|s__sp. Secpp 1600
h7,g__Streptomyces|s__sp. 44030
h2,g__Candidatus Halobonum|s__Halobonum sp. Gai3-2
PantothenicacidVitaminB5PantothenateConsumptionimport,g__Lactobacillus|s__amylovorus
h9,g__Streptomyces|s__atratus
h7,g__Mycolicibacterium|s__aichiense
h8,g__Marichromatium|s__purpuratum
h3,g__Achromobacter|s__insolitus
h3,g__Paenibacillus|s__rhizovicinus
h4,g__Pseudomonas|s__sp. S49
h5,g__Arsenicicoccus|s__sp. oral taxon 190
h4,g__Apibacter|s__sp. B2966
h7,g__Altererythrobacter|s__marensis
h2,g__Enterobacter|s__sp. RFL1396
h3,g__Vibrio|s__breoganii
h6,g__Dialister|s__hominis
h8,g__Auritidibacter|s__sp. NML130574
h3,g__Enterococcus|s__casseliflavus
h9,g__Bacillus|s__altitudinis
h0,g__Thermus|s__sp. 4C
MethylamineMonomethylamineConsumptionimport,g__Ralstonia|s__pickettii
k__Bacteria,g__Blattabacterium|s__sp. (Blatta orientalis)
h0,g__Novosphingobium|s__sp. THN1
h2,g__Pseudomonas|s__sp. LG1D9
h9,g__Polaromonas|s__sp. H6N
k__Bacteria,g__Alkalitalea|s__saponilacus
h1,g__Capnocytophaga|s__sp. oral taxon 323
h3,g__Staphylococcus|s__sp. M0911
h2,g__Mycobacterium|s__gordonae
h8,g__Xanthomonas|s__oryzae
h3,g__Cellulophaga|s__algicola
h5,g__Fictibacillus|s__phosphorivorans
h7,g__Oceanispirochaeta|s__crateris
h7,g__Streptococcus|s__sp. HSISS1
h5,g__Sphingopyxis|s__fribergensis
h5,g__Nostoc|s__flagelliforme
13,g__Streptococcus|s__salivarius
h5,g__Sphingobium|s__japonicum
h6,g__Polaromonas|s__sp. JS666
output,k__Archaea
h1,g__Candidatus Nitrosocosmicus|s__franklandus
h4,g__Delftia|s__tsuruhatensis
h3,g__Chryseobacterium|s__gleum
h5,g__Planobispora|s__rosea
h6,g__Brevibacillus|s__sp. SCSIO 07484
h7,g__Microbacterium|s__sp. str. 'China'
h4,g__Halorubrum|s__sp. RHB-C
k__Bacteria,g__Pseudoalteromonas|s__arctica
h6,g__Enterococcus|s__hirae
h3,g__Sulfuriflexus|s__mobilis
h0,g__Vibrio|s__sp. ZWAL4003
h6,g__Bradyrhizobium|s__amphicarpaeae
h7,g__Streptococcus|s__mitis
k__Bacteria,g__Micrococcus|s__sp. V7
k__Bacteria,g__Celeribacter|s__baekdonensis
h2,g__Vibrio|s__diabolicus
h5,g__Winogradskyella|s__forsetii
h6,g__Polynucleobacter|s__sp. MWH-UH21B
h1,g__Streptomyces|s__lydicus
h7,g__Candidatus Kinetoplastibacterium|s__oncopeltii
h8,g__Halomonas|s__sp. PGE1
output,N2Productionexport
h6,g__Corynebacterium|s__sp. sy039
h2,g__Lysinibacillus|s__varians
k__Bacteria,g__Streptomyces|s__sp. RLB1-9
h1,g__Mucilaginibacter|s__sp. PAMC 26640
h4,g__Rhodococcus|s__sp. WMMA185
h9,g__Stenotrophomonas|s__maltophilia
h6,g__Radiobacillus|s__deserti
k__Bacteria,g__Caldicellulosiruptor|s__lactoaceticus
h0,g__Pedobacter|s__roseus
h0,g__Bacteroides|s__sp. CACC 737
h5,g__Defluviitoga|s__tunisiensis
h4,g__Rhizobium|s__sp. CCGE531
h6,g__Treponema|s__socranskii
h5,g__Spiroplasma|s__melliferum
h9,g__Nocardioides|s__euryhalodurans
h1,g__Campylobacter|s__sp. RM16704
h4,g__Limosilactobacillus|s__fermentum
h6,g__Salmonella|s__sp.
h7,g__Pseudomonas|s__sp. LG1D9
h5,g__Francisella|s__noatunensis
h8,g__Friedmanniella|s__luteola
D-FructoseFructoseConsumptionimport,g__Odoribacter|s__splanchnicus
h1,g__Halobacillus|s__halophilus
h6,g__Blautia|s__hansenii
h2,g__Mesoplasma|s__tabanidae
h6,g__Maricaulis|s__maris
h6,g__Cycloclasticus|s__sp. PY97N
8,g__Thermotoga|s__maritima
h3,g__Methanococcus|s__vannielii
h5,g__Pelodictyon|s__phaeoclathratiforme
12,g__Enterobacter|s__bugandensis
h5,g__Achromobacter|s__sp. AONIH1
h1,g__Scytonema|s__sp. HK-05
h4,g__Rickettsia|s__felis
h5,g__Fervidicoccus|s__fontis
h9,g__Microbacterium|s__schleiferi
h9,g__Burkholderia|s__vietnamiensis
h5,g__Mycolicibacterium|s__frederiksbergense
h9,g__Wolbachia|s__endosymbiont of Diaphorina citri
h5,g__Halorussus|s__sp. ZS-3
h2,g__Undibacterium|s__sp. YM2
h6,g__Candidatus Phytoplasma|s__Paulownia witches'-broom phytoplasma
h8,g__Aliarcobacter|s__faecis
h3,g__Pseudarthrobacter|s__sp. NBSH8
h9,g__Zobellella|s__denitrificans
h4,g__Caldisericum|s__exile
h6,g__Bacillus|s__sp. FJAT-42376
h8,g__Halovivax|s__ruber
h2,g__Hymenobacter|s__sedentarius
h1,g__Raoultella|s__Enterobacteriaceae endosymbiont of Donacia vulgaris
h2,g__Romboutsia|s__ilealis
h0,g__Rhodopirellula|s__baltica
h4,g__Synechococcus|s__sp. A18-25c
h7,g__Halovivax|s__ruber
h8,g__Megamonas|s__funiformis
h5,g__Sphingobium|s__sp. LF-16
h5,g__Nocardia|s__yunnanensis
h7,g__Streptomyces|s__platensis
h8,g__Halogeometricum|s__borinquense
h1,g__Brevundimonas|s__sp. GW460-12-10-14-LB2
h8,g__Frigoriglobus|s__tundricola
h2,g__Leptotrichia|s__wadei
h0,g__Crateriforma|s__conspicua
h3,g__Shewanella|s__maritima
h6,g__Streptomyces|s__sp. S501
h7,g__Enterobacter|s__sichuanensis
h3,g__Nonlabens|s__sp. MIC269
HemicelluloseMacromoleculedegradation,g__Butyrivibrio|s__fibrisolvens
h4,g__Shewanella|s__japonica
h6,g__Mycoplasma|s__gallopavonis
h1,g__Hymenobacter|s__nivis
h0,g__Variovorax|s__sp. HW608
h9,g__Chryseobacterium|s__sp. 7-3A
h6,g__Dehalogenimonas|s__lykanthroporepellens
h7,g__Pseudoalteromonas|s__sp. DL-6
h4,g__Methanosarcina|s__horonobensis
h3,g__Lysobacter|s__enzymogenes
1,g__Heliobacterium|s__modesticaldum
4,g__Faecalibacterium|s__prausnitzii
h1,g__Kosakonia|s__Enterobacteriaceae endosymbiont of Donacia cincticornis
h9,g__Herbaspirillum|s__hiltneri
k__Bacteria,g__Arcobacter|s__nitrofigilis
h7,g__Salegentibacter|s__sp. T436
h9,g__Rahnella|s__sp. WMR114
h2,g__Flavobacterium|s__columnare
h8,g__Helicobacter|s__typhlonius
h9,g__Pajaroellobacter|s__abortibovis
h6,g__Brucella|s__canis
h1,g__Chlamydia|s__muridarum
h1,g__Kerstersia|s__gyiorum
k__Bacteria,g__Tardibacter|s__chloracetimidivorans
h4,g__Paenarthrobacter|s__nicotinovorans
h2,g__Candidatus Nanopelagicus|s__hibericus
h4,g__Microcella|s__alkaliphila
h7,g__Burkholderia|s__pseudomallei
h2,g__Burkholderia|s__sp. KBS0801
h7,g__Chlamydia|s__sp. 2742-308
h7,g__Sphingobium|s__sp. LF-16
H2HydrogenConsumptionimport,g__Methanopyrus|s__kandleri
h4,g__Candidatus Kinetoplastibacterium|s__sorsogonicusi
15,g__Listeria|s__monocytogenes
h5,g__Microbacterium|s__sp. No. 7
h5,g__Citrobacter|s__sp. 36-4CPA
h9,g__Treponema|s__pedis
h5,g__Fusobacterium|s__varium
h4,g__Weissella|s__hellenica
h3,g__Salinispira|s__pacifica
h1,g__Herminiimonas|s__arsenicoxydans
h2,g__Acidovorax|s__sp. RAC01
h2,g__Streptomyces|s__platensis
h1,g__Salmonella|s__sp. S13
h2,g__Isoptericola|s__dokdonensis
h4,g__Nitrosomonas|s__stercoris
h2,g__Chitinophaga|s__pinensis
h2,g__Enterobacter|s__sichuanensis
h7,g__Limnobacter|s__sp. SAORIC-580
h5,g__Rhizobium|s__acidisoli
h9,g__Kosakonia|s__oryzae
h8,g__Serpentinomonas|s__raichei
k__Bacteria,g__Cellvibrio|s__sp. PSBB023
k__Bacteria,g__Mobilicoccus|s__sp. NJES-13
h3,g__Candidatus Accumulibacter|s__phosphatis
h4,g__Halarcobacter|s__ebronensis
h8,g__Arcobacter|s__trophiarum
h3,g__Acutalibacter|s__muris
13,g__Gemella|s__morbillorum
h7,g__Flavobacterium|s__sp. CJ74
140,g__Bacillus|s__ciccensis
h3,g__Maribacter|s__sp. HTCC2170
NH3AmmoniaNH4AmmoniumProductionexport,g__Ureaplasma|s__parvum
output,L-LeucineLeucineProductionexport
k__Bacteria,g__Lactococcus|s__piscium
h0,g__Streptomyces|s__sp. SM17
h4,g__Arthrobacter|s__crystallopoietes
h6,g__Nostoc|s__punctiforme
MethanolConsumptionimport,g__Methylocella|s__silvestris
h3,g__Klebsiella|s__michiganensis
h2,g__Desulfomicrobium|s__baculatum
h3,g__Rhodobacter|s__sphaeroides
h0,g__Kineobactrum|s__sp. M2
BenzoateConsumptionimport,g__Syntrophus|s__aciditrophicus
h1,g__Leuconostoc|s__sp. LN180020
h5,g__Cellvibrio|s__sp. PSBB006
h3,g__Bifidobacterium|s__pseudocatenulatum
h5,g__Leptospira|s__interrogans
h6,g__Mycoplasma|s__capricolum
h7,g__Dermatophilus|s__congolensis
k__Bacteria,g__Carboxydocella|s__thermautotrophica
h5,g__Paraburkholderia|s__megapolitana
h3,g__Formosa|s__sp. Hel1_33_131
h7,g__Methylosinus|s__sp. C49
h0,g__Methylobacterium|s__currus
h0,g__Nitrososphaera|s__Candidatus Nitrososphaera evergladensis
h1,g__Cyclobacterium|s__marinum
h4,g__Francisella|s__halioticida
h5,g__Marinilactibacillus|s__sp. 15R
h3,g__Streptomyces|s__kanamyceticus
output,CholineConsumptionimport
h9,g__Pectobacterium|s__atrosepticum
h3,g__Rhizobium|s__favelukesii
1,g__Intestinimonas|s__butyriciproducens
k__Bacteria,g__Leptospira|s__borgpetersenii
h7,g__Isoptericola|s__dokdonensis
h2,g__Streptomyces|s__lividans
h9,g__Thermoanaerobacterium|s__aotearoense
h2,g__Pseudomonas|s__extremorientalis
h8,g__Nitrosopumilus|s__cobalaminigenes
EthanolConsumptionimport,g__Acetobacter|s__pasteurianus
h0,g__Caulobacter|s__sp. FWC26
h8,g__Desulfovibrio|s__sp. 86
h6,g__Aminipila|s__sp. JN-18
h3,g__Labrenzia|s__sp. THAF82
h4,g__Lancefieldella|s__parvula
h2,g__Pauljensenia|s__hongkongensis
output,186
h8,g__Spirosoma|s__sp. KUDC1026
h8,g__Vagococcus|s__sp. HDW17B
h2,g__Bordetella|s__bronchialis
h0,g__Bacteriovorax|s__stolpii
h2,g__Acinetobacter|s__sp. ACNIH1
h2,g__Oricola|s__sp. MEBiC13590
h9,g__Pseudoalteromonas|s__sp. SANK 73390
h6,g__Methanosarcina|s__barkeri
h4,g__Xanthomonas|s__fragariae
k__Bacteria,g__Sulfitobacter|s__sp. THAF37
h0,g__Oenococcus|s__oeni
h8,g__Methanobacterium|s__formicicum
59,g__Skermanella|s__pratensis
h3,g__Cellulomonas|s__flavigena
h0,g__Treponema|s__caldarium
h5,g__Brevundimonas|s__mediterranea
h5,g__Pseudorhodobacter|s__sp. S12M18
L-MethionineD-MethionineConsumptionimport,g__Fusobacterium|s__nucleatum
k__Bacteria,g__Magnetospira|s__sp. QH-2
h2,g__Rippkaea|s__orientalis
1,g__Corynebacterium|s__halotolerans
k__Bacteria,g__Escherichia|s__sp. E4742
h4,g__Halorubrum|s__lacusprofundi
h6,g__Streptomyces|s__sp. S1D4-23
h0,g__Staphylococcus|s__hominis
h2,g__Bacillus|s__intestinalis
h4,g__Halopiger|s__xanaduensis
h5,g__Klebsiella|s__pneumoniae
h6,g__Campylobacter|s__sp. CFSAN093246
h7,g__Echinicola|s__sp. LN3S3
h7,g__Allokutzneria|s__albata
h1,g__Acinetobacter|s__schindleri
k__Bacteria,g__Nostoc|s__sp. NIES-4103
h5,g__Gramella|s__echinicola
h8,g__Renibacterium|s__salmoninarum
h9,g__Latilactobacillus|s__Lactobacillus curvatus
h3,g__Pseudomonas|s__sp. NIBRBAC000502773
h9,g__Halanaeroarchaeum|s__sulfurireducens
h3,g__Actinobacillus|s__succinogenes
h2,g__Rhodococcus|s__jostii
h8,g__Microbacterium|s__pygmaeum
h5,g__Pseudoalteromonas|s__tetraodonis
h9,g__Staphylococcus|s__delphini
h6,g__Streptomyces|s__olivaceus
h4,g__Borrelia|s__maritima
h9,g__Amycolatopsis|s__sp. BJA-103
h1,g__Pseudomonas|s__sp. 09C 129
h3,g__Pseudomonas|s__sp. R4-35-07
h8,g__Congregibacter|s__litoralis
h5,g__Streptococcus|s__sobrinus
h8,g__Pseudarthrobacter|s__sp. BIM B-2242
h1,g__Thermaerobacter|s__marianensis
h3,g__Mesorhizobium|s__huakuii
h7,g__Mobiluncus|s__curtisii
h0,g__Mycolicibacterium|s__moriokaense
57,g__Sphingopyxis|s__sp. QXT-31
h2,g__Mycoplasma|s__agalactiae
h9,g__Dialister|s__hominis
h8,g__Desulfofarcimen|s__acetoxidans
k__Bacteria,g__Escherichia|s__coli
h0,g__Pseudomonas|s__sp. B14-6
h0,g__Halobellus|s__limi
h4,g__Rathayibacter|s__sp. VKM Ac-2804
k__Bacteria,g__Desulfobacca|s__acetoxidans
PantothenicacidVitaminB5PantothenateConsumptionimport,g__Mycoplasma|s__arthritidis
k__Bacteria,g__Clostridium|s__saccharoperbutylacetonicum
h7,g__Polynucleobacter|s__paneuropaeus
h8,g__Pseudomonas|s__sp. B10
h9,g__Lacrimispora|s__sphenoides
h2,g__Burkholderia|s__dolosa
h1,g__Kosakonia|s__cowanii
h5,g__Rhizobium|s__sp. NT-26
k__Bacteria,g__Serratia|s__ureilytica
h6,g__Acholeplasma|s__laidlawii
k__Bacteria,g__Acidovorax|s__citrulli
h9,g__Capnocytophaga|s__sputigena
h0,g__Limnohabitans|s__sp. 63ED37-2
k__Bacteria,g__Thioalkalivibrio|s__sp. K90mix
h4,g__Nocardiopsis|s__alba
h8,g__Raoultella|s__Enterobacteriaceae endosymbiont of Donacia proxima
h9,g__Porphyrobacter|s__sp. LM 6
h1,g__Candidatus Doolittlea|s__endobia
h3,g__Synechococcus|s__elongatus
h3,g__Kingella|s__oralis
h4,g__Clostridium|s__sp. BNL1100
h5,g__Burkholderia|s__mallei
h6,g__Entomomonas|s__moraniae
h2,g__Pseudomonas|s__protegens
h2,g__Campylobacter|s__sp. CFSAN093238
h2,g__Paracoccus|s__sanguinis
h6,g__Citrobacter|s__sp. RHBSTW-00570
k__Bacteria,g__Gramella|s__forsetii
h0,g__Dehalogenimonas|s__lykanthroporepellens
h4,g__Plantibacter|s__sp. M259
h3,g__Achromobacter|s__sp. B7
h7,g__Mycoplasma|s__Candidatus Mycoplasma haemolamae
h2,g__Amylolactobacillus|s__amylophilus
h9,g__Streptomyces|s__sp. ZFG47
h0,g__Lactobacillus|s__acidophilus
h8,g__Candidatus Nitrosotenuis|s__aquarius
h2,g__Mageeibacillus|s__indolicus
k__Bacteria,g__Thiolapillus|s__brandeum
h9,g__Mycobacterium|s__sp. QIA-37
h5,g__Simplicispira|s__suum
h5,g__Caldicellulosiruptor|s__obsidiansis
h0,g__Chlorobaculum|s__tepidum
h5,g__Mycolicibacterium|s__sediminis
k__Bacteria,g__Bradyrhizobium|s__sp. CCBAU 51765
h4,g__Pseudomonas|s__sp. S150
h5,g__Chamaesiphon|s__minutus
h4,g__Undibacterium|s__sp. YM2
h6,g__Streptococcus|s__sp. I-P16
h7,g__Halioglobus|s__pacificus
h8,g__Bacillus|s__sp. YP1
h1,g__Streptomyces|s__sp. CB04723
h6,g__Enterococcus|s__sp. M190262
h7,g__Pseudoalteromonas|s__ulvae
h9,g__Stenotrophomonas|s__sp. pho
h6,g__Lactococcus|s__raffinolactis
h9,g__Vibrio|s__harveyi
h1,g__Octadecabacter|s__temperatus
h3,g__Bacillus|s__vietnamensis
h7,g__Streptomyces|s__globisporus
h0,g__Weissella|s__confusa
h1,g__Streptomyces|s__sp. TLI_053
h4,g__Variovorax|s__paradoxus
h3,g__Capnocytophaga|s__sp. H2931
h0,g__Candidatus Hodgkinia|s__cicadicola
h9,g__Caldicellulosiruptor|s__kronotskyensis
h9,g__Bartonella|s__elizabethae
h6,g__Azospira|s__Dechlorosoma suillum
h5,g__Hypericibacter|s__adhaerens
h0,g__Streptomyces|s__sp. CdTB01
1,g__Fusobacterium|s__gonidiaformans
h1,g__Cellvibrio|s__sp. PSBB006
h1,g__Leptospira|s__interrogans
h5,g__Helicobacter|s__mustelae
h1,g__Pseudoalteromonas|s__marina
h6,g__Eggerthella|s__lenta
h1,g__Rhodococcus|s__sp. YL-1
h3,g__Lysobacter|s__sp. H21R20
h0,g__Undibacterium|s__sp. KW1
h7,g__Nocardioides|s__sp. HDW12A
h5,g__Pseudomonas|s__sp. KUIN-1
h8,g__Acidovorax|s__avenae
h9,g__Flavobacterium|s__sp. KP1
ButyrateConsumptionimport,g__Syntrophobotulus|s__glycolicus
h6,g__Geobacillus|s__subterraneus
h2,g__Candidatus Kinetoplastibacterium|s__blastocrithidii
h6,g__Serinicoccus|s__profundi
h4,g__Corynebacterium|s__halotolerans
h1,g__Rhodomicrobium|s__vannielii
Isobutyrate2-MethylpropanoicacidConsumptionimport,g__Acidovorax|s__avenae
h0,g__Coxiella|s__burnetii
h1,g__Oscillibacter|s__sp. NSJ-62
h0,g__Acholeplasma|s__axanthum
h2,g__Achromobacter|s__insolitus
