parent,child
h4,g__Sphingobium|s__hydrophobicum
h9,g__Anaerostipes|s__caccae
h7,g__Mycobacterium|s__leprae
h8,g__Mycoplasmopsis|s__glycophila
h4,g__Thermococcus|s__onnurineus
h7,g__Helicobacter|s__sp. MIT 01-6242
h9,g__Arthrobacter|s__sp. PGP41
h4,g__Pseudomonas|s__sp. SWI44
h9,g__Paenibacillus|s__xylanilyticus
h3,g__Alteromonas|s__sp. RKMC-009
h6,g__Paraoerskovia|s__marina
h5,g__Clostridium|s__thermarum
h9,g__Microcystis|s__aeruginosa
h0,g__Saliniradius|s__amylolyticus
h1,g__Halorhabdus|s__utahensis
h4,g__Cyanobium|s__sp. NS01
h7,g__Methanocaldococcus|s__fervens
h0,g__Synechococcus|s__sp. A15-28
g__Staphylococcus,g__Staphylococcus|s__nepalensis
h0,g__Citrobacter|s__freundii complex sp. CFNIH3
h1,g__Moraxella|s__osloensis
g__Massilia,g__Massilia|s__sp. LPB0304
h5,g__Mesoplasma|s__lactucae
h1,g__Thermodesulfobium|s__acidiphilum
h5,g__Lacticaseibacillus|s__Lactobacillus casei
h1,g__Frederiksenia|s__canicola
h7,g__Rouxiella|s__badensis
h7,g__Bacillus|s__licheniformis
h0,g__Paenibacillus|s__xylanilyticus
h1,g__Geodermatophilus|s__obscurus
14,g__Thermococcus|s__radiotolerans
h8,g__Sporosarcina|s__sp. P33
h0,g__Rhodobacter|s__sphaeroides
output,g__Hylemonella
g__CandidatusPelagibacter,g__Candidatus Pelagibacter|s__sp. FZCC0015
h9,g__Treponema|s__pedis
h2,g__Leuconostoc|s__kimchii
h5,g__Sphingobium|s__sp. TKS
h8,g__Sinorhizobium|s__americanum
h2,g__Leptolyngbya|s__boryana
h9,g__Martelella|s__mediterranea
h6,g__Candidatus Desulfofervidus|s__auxilii
h7,g__Eggerthella|s__lenta
h8,g__Spiribacter|s__salinus
h4,g__Mycoplasma|s__wenyonii
g__Pirellula,g__Pirellula|s__staleyi
h4,g__Candidatus Cardinium|s__Cardinium endosymbiont of Encarsia pergandiella
H2HydrogenConsumptionimport,g__Methanococcus|s__voltae
h2,g__Xanthomonas|s__campestris
h2,g__Streptacidiphilus|s__sp. PB12-B1b
h9,g__Clostridium|s__fermenticellae
g__Thermanaerovibrio,g__Thermanaerovibrio|s__acidaminovorans
h9,g__Sphingopyxis|s__lindanitolerans
h3,g__Trichormus|s__azollae
g__Vibrio,g__Vibrio|s__sp. 04Ya108
h9,g__Alcanivorax|s__sp. NBRC 101098
h9,g__Clostridium|s__intestinale
g__Mucinivorans,g__Mucinivorans|s__hirudinis
0,g__Maribacter|s__sp. MJ134
h2,g__Limnospira|s__fusiformis
h1,g__Haemophilus|s__sp. oral taxon 036
h4,g__Pelosinus|s__fermentans
h4,g__Lactiplantibacillus|s__Lactobacillus pentosus
h8,g__Saccharomonospora|s__azurea
h8,g__Ralstonia|s__pickettii
h8,g__Ancylobacter|s__sp. TS-1
g__Synechococcus,g__Synechococcus|s__sp. WH 8020
h2,g__Campylobacter|s__geochelonis
h3,g__Lancefieldella|s__parvula
h9,g__Streptomyces|s__sp. endophyte_N2
GlycerolConsumptionimport,g__Lactobacillus|s__acidophilus
169,g__Actinotalea|s__sp. JY-7876
h3,g__Dictyoglomus|s__thermophilum
h3,g__Chryseobacterium|s__sp. IHB B 17019
h3,g__Flavobacterium|s__sp.
h8,g__Micromonospora|s__aurantiaca
h5,g__Roseitalea|s__porphyridii
output,g__Oscillatoria
g__Olsenella,g__Olsenella|s__uli
31,g__Spiroplasma|s__taiwanense
h6,g__Klebsiella|s__grimontii
h7,g__Paenibacillus|s__graminis
h4,g__Natrinema|s__sp. YPL30
h7,g__Mycoplasma|s__dispar
h8,g__Mycoplasma|s__bovirhinis
g__Hylemonella,g__Hylemonella|s__gracilis
h1,g__Pistricoccus|s__aurantiacus
h1,g__Microcystis|s__aeruginosa
g__Vibrio,g__Vibrio|s__ponticus
output,g__CandidatusFokinia
h1,g__Bacillus|s__haynesii
h1,g__Methyloceanibacter|s__caenitepidi
h1,g__Sulfurospirillum|s__sp. JPD-1
h2,g__Euzebyella|s__marina
h3,g__Pyrobaculum|s__arsenaticum
h7,g__Erythrobacter|s__sp. KY5
g__Streptomyces,g__Streptomyces|s__sp. ICC1
g__Rathayibacter,g__Rathayibacter|s__rathayi
g__Enterobacter,g__Enterobacter|s__sp. Crenshaw
h6,g__Halomonas|s__beimenensis
h8,g__Aminobacter|s__sp. MSH1
h8,g__Pseudomonas|s__sp. TUM18999
h5,g__Psychromonas|s__sp. CNPT3
h8,g__Treponema|s__paraluiscuniculi
h8,g__Streptomyces|s__sp. MOE7
h1,g__Candidatus Vesicomyosocius|s__sp. SY067_SCS001
h5,g__Marisediminicola|s__antarctica
h1,g__Sanguibacter|s__keddieii
h9,g__Staphylococcus|s__vitulinus
L-HistidineHistidineConsumptionimport,g__Clostridium|s__tetani
h0,g__Caldicellulosiruptor|s__owensensis
h0,g__Auritidibacter|s__sp. NML130574
h1,g__Escherichia|s__fergusonii
h3,g__Pseudoalteromonas|s__sp. Bsw20308
g__Campylobacter,g__Campylobacter|s__canadensis
80,g__Lactobacillus|s__jensenii
h5,g__Clostridium|s__scatologenes
h5,g__Cedecea|s__neteri
h2,g__Bacillus|s__marisflavi
h8,g__Hyphobacterium|s__sp. CCMP332
h4,g__Corynebacterium|s__pelargi
12,g__Candidatus Kuenenia|s__stuttgartiensis
h0,g__Polaromonas|s__sp. H1N
NitrateConsumptionimport,g__Acidovorax|s__avenae
h1,g__Streptomyces|s__sp. S4.7
h1,g__Pyrobaculum|s__ferrireducens
h0,g__Elizabethkingia|s__miricola
h4,g__Acinetobacter|s__sp. BEC1-S18-ESBL-01
h5,g__Paenisporosarcina|s__sp. K2R23-3
H2O2Productionexport,g__Streptococcus|s__cristatus
h6,g__Anaerolinea|s__sp. 'rifampicinis'
h7,g__Altererythrobacter|s__sp. TH136
h8,g__Mycetocola|s__sp. 449
h9,g__Blastococcus|s__saxobsidens
h9,g__Gemella|s__sp. ND 6198
h2,g__Mycoplasma|s__sp. 1654_15
h2,g__Sphingorhabdus|s__sp. SMR4y
h4,g__Polaromonas|s__sp. W10N
h5,g__Brachyspira|s__murdochii
h9,g__Actinobacillus|s__porcitonsillarum
h0,g__Acidovorax|s__sp. HDW3
h1,g__Agromyces|s__sp. HY052
h1,g__Gibbsiella|s__quercinecans
g__Streptomyces,g__Streptomyces|s__sp. HM190
h6,g__Streptomyces|s__lividans
h7,g__Herminiimonas|s__arsenicoxydans
h6,g__Klebsiella|s__quasivariicola
h5,g__Vibrio|s__tubiashii
h7,g__Streptococcus|s__parauberis
h7,g__Actinomyces|s__sp. oral taxon 897
h6,g__Proteus|s__penneri
FOSFructooligosaccharideConsumptionimport,g__Faecalibacterium|s__prausnitzii
h4,g__Butyricicoccus|s__sp. GAM44
h5,g__Allochromatium|s__vinosum
h8,g__Salinimonas|s__sp. G2-b
h3,g__Shimwellia|s__blattae
output,183
h2,g__Altibacter|s__sp. ALE3EI
h3,g__Mycoplasma|s__sp. OR1901
h7,g__Salmonella|s__enterica
h9,g__Butyrivibrio|s__proteoclasticus
h8,g__Streptomyces|s__exfoliatus
h9,g__Alcanivorax|s__pacificus
g__Rhizobium,g__Rhizobium|s__phaseoli
CO2Productionexport,g__Lactobacillus|s__iners
g__Erythrobacter,g__Erythrobacter|s__gangjinensis
h8,g__Liberibacter|s__crescens
output,g__Leptotrichia
h4,g__Mycobacterium|s__conspicuum
h7,g__Corynebacterium|s__argentoratense
h8,g__Marinomonas|s__primoryensis
h8,g__Methanocella|s__paludicola
EthanolConsumptionimport,g__Desulfovibrio|s__vulgaris
h2,g__Kocuria|s__palustris
h5,g__Acidovorax|s__carolinensis
h5,g__Klebsiella|s__sp. P1CD1
h0,g__Streptomyces|s__tirandamycinicus
h3,g__Bacteroides|s__sp. CACC 737
h9,g__Jeotgalibaca|s__ciconiae
h9,g__Mycoplasma|s__phocicerebrale
g__Anaerotignum,g__Anaerotignum|s__propionicum
h1,g__Sulfuriflexus|s__mobilis
h5,g__Bradyrhizobium|s__sp. 1(2017)
h2,g__Veillonella|s__parvula
h8,g__Lachnoclostridium|s__[Clostridium] scindens
h4,g__Limnobacter|s__sp. SAORIC-580
h8,g__Methylorubrum|s__extorquens
h7,g__Loigolactobacillus|s__Lactobacillus backii
h4,g__Nitratiruptor|s__sp. SB155-2
h0,g__Nitratiruptor|s__Pseudomonas sp. ADP
output,g__Ornithobacterium
h4,g__Pandoraea|s__apista
h6,g__Fusobacterium|s__sp. NSJ-57
h4,g__Chlamydia|s__pecorum
h1,g__Candidatus Profftella|s__armatura
h6,g__Jeotgalibaca|s__arthritidis
h8,g__Dolichospermum|s__sp. UHCC 0315A
g__Acholeplasma,g__Acholeplasma|s__palmae
h7,g__Thermoanaerobacter|s__italicus
h9,g__Aminobacter|s__sp. MDW-2
h9,g__Streptomyces|s__antibioticus
h6,g__Borrelia|s__recurrentis
h1,g__Tardiphaga|s__sp. vice304
h6,g__Terriglobus|s__albidus
h7,g__Ereboglobus|s__luteus
h8,g__Bacillus|s__haynesii
h7,g__Methanopyrus|s__kandleri
h9,g__Streptomyces|s__glaucescens
h9,g__Pontibacter|s__akesuensis
49,g__Caulobacter|s__mirabilis
h0,g__Colwellia|s__sp. PAMC 21821
h2,g__Streptococcus|s__infantarius
h9,g__Mycolicibacterium|s__moriokaense
h7,g__Pandoraea|s__pulmonicola
h2,g__Psychrobacter|s__sp. AntiMn-1
g__Antarctobacter,g__Antarctobacter|s__heliothermus
h3,g__Microbulbifer|s__sp. ALW1
h1,g__Aquifex|s__aeolicus
h3,g__Lysobacter|s__sp. H21R20
h4,g__Crenobacter|s__cavernae
h7,g__Sphingobium|s__sp. KCTC 72723
h9,g__Enterococcus|s__saigonensis
h9,g__Corynebacterium|s__aurimucosum
h9,g__Erythrobacter|s__mangrovi
h6,g__Pyrococcus|s__abyssi
h8,g__Cohnella|s__candidum
h6,g__Alkaliphilus|s__metalliredigens
g__Agromyces,g__Agromyces|s__sp. LHK192
h1,g__Bradyrhizobium|s__genosp. B
g__Microbacterium,g__Microbacterium|s__sp. str. 'China'
g__Saccharospirillum,g__Saccharospirillum|s__mangrovi
h3,g__Bacillus|s__sp. PAMC26543
h6,g__Halioglobus|s__japonicus
h3,g__Arcobacter|s__venerupis
h5,g__Caldicellulosiruptor|s__hydrothermalis
h6,g__Arenimonas|s__daejeonensis
h3,g__Micrococcus|s__luteus
g__Frederiksenia,g__Frederiksenia|s__canicola
h2,g__Streptomyces|s__coeruleorubidus
h2,g__Sphingobacterium|s__sp. B29
h2,g__Pseudomonas|s__oryzihabitans
h1,g__Halomonas|s__elongata
h1,g__Acidianus|s__manzaensis
g__Caldicellulosiruptor,g__Caldicellulosiruptor|s__lactoaceticus
h2,g__Curtobacterium|s__pusillum
h5,g__Methylophaga|s__nitratireducenticrescens
h2,g__Mixta|s__calida
h3,g__Mesorhizobium|s__sp. M2A.F.Ca.ET.043.02.1.1
output,g__Intrasporangium
h4,g__Kurthia|s__zopfii
h8,g__Francisella|s__persica
g__Chlorobaculum,g__Chlorobaculum|s__tepidum
h9,g__Bacteroides|s__sp. HF-5141
h4,g__Sphingobium|s__sp. MI1205
h4,g__Corynebacterium|s__glyciniphilum
h9,g__Rothia|s__dentocariosa
h4,g__Mycoplasma|s__pulmonis
h0,g__Moraxella|s__bovoculi
h0,g__Sphingopyxis|s__alaskensis
h6,g__Massilia|s__violaceinigra
h9,g__Chryseobacterium|s__sp. NBC 122
h9,g__Ferriphaselus|s__amnicola
output,L-LactateS-LactateLactateD-LactateR-LactateConsumptionimportproductionexport
h9,g__Listeria|s__seeligeri
h5,g__Mycobacterium|s__haemophilum
h5,g__Entomoplasma|s__freundtii
g__Stenotrophomonas,g__Stenotrophomonas|s__sp. G4
h5,g__Bartonella|s__alsatica
h1,g__Synechococcus|s__sp. CB0101
h4,g__Streptomyces|s__albireticuli
h5,g__Frischella|s__perrara
h2,g__Streptococcus|s__sp. 1643
h2,g__Zhihengliuella|s__sp. ISTPL4
h7,g__Mesorhizobium|s__sp. WSM1497
h8,g__Sideroxydans|s__lithotrophicus
h1,g__Archaeoglobus|s__veneficus
h1,g__Ornithinimicrobium|s__sp. HY006
h5,g__Thermaerobacter|s__sp. PB12/4term
h1,g__Synechococcus|s__sp. TAK9802
h3,g__Epibacterium|s__mobile
output,g__Natronorubrum
h6,g__Deinococcus|s__metallilatus
h6,g__Burkholderia|s__thailandensis
h1,g__Streptomyces|s__sp. CFMR 7
output,326
h1,g__Cohaesibacter|s__sp. ES.047
h5,g__Sporosarcina|s__sp. P33
g__Hungateiclostridium,g__Hungateiclostridium|s__clariflavum
h0,g__Brevibacillus|s__brevis
FormateConsumptionimport,g__Desulfovibrio|s__salexigens
g__Cupriavidus,g__Cupriavidus|s__nantongensis
h3,g__Shigella|s__sp. MO17
h7,g__Polaribacter|s__sp. BM10
h2,g__Arcobacter|s__anaerophilus
h1,g__Tardiphaga|s__sp. vice278
h8,g__Sphingorhabdus|s__lacus
h8,g__Acidiferrobacter|s__endosymbiont of unidentified scaly snail isolate Monju
g__Brevibacterium,g__Brevibacterium|s__siliguriense
39,g__Bernardetia|s__litoralis
h9,g__Pseudomonas|s__sp. S49
h1,g__Lachnoclostridium|s__[Clostridium] hylemonae
h1,g__Paraburkholderia|s__tropica
h6,g__Pseudothermotoga|s__thermarum
h8,g__Syntrophobotulus|s__glycolicus
h0,g__Pradoshia|s__sp. D12
h0,g__Kushneria|s__konosiri
h1,g__Sphingobacterium|s__sp. B29
h6,g__Vibrio|s__nigripulchritudo
h2,g__Candidatus Nitrosocosmicus|s__exaquare
47,g__Variovorax|s__boronicumulans
TriglycerideMacromoleculedegradation,g__Micrococcus|s__luteus
h6,g__Pseudogulbenkiania|s__sp. NH8B
6,g__Staphylococcus|s__equorum
h2,g__Rickettsia|s__endosymbiont of Ixodes pacificus
h7,g__Stenotrophomonas|s__sp. G4
h8,g__Corynebacterium|s__aquilae
h2,g__Blattabacterium|s__sp. (Mastotermes darwiniensis)
h6,g__Paracoccus|s__sp. Arc7-R13
h0,g__Brachyspira|s__intermedia
h7,g__Ruminiclostridium|s__cellulolyticum
h1,g__Streptomyces|s__sp. WAC 06738
h5,g__Haloferax|s__mediterranei
h8,g__Klebsiella|s__sp. P1CD1
h2,g__Staphylococcus|s__arlettae
h2,g__Bradyrhizobium|s__genosp. B
h0,g__Aeribacillus|s__pallidus
h9,g__Microbacterium|s__hominis
h0,g__Nocardioides|s__sp. KUDC 5002
h9,g__Aeromicrobium|s__sp. zg-629
h3,g__Corynebacterium|s__argentoratense
h2,g__Aminipila|s__sp. CBA3637
h7,g__Carboxydothermus|s__hydrogenoformans
h9,g__Ruegeria|s__sp. THAF33
h4,g__Porphyrobacter|s__neustonensis
h5,g__Neisseria|s__lactamica
h9,g__Desulfotalea|s__psychrophila
output,g__Caloramator
h9,g__Acinetobacter|s__defluvii
h2,g__Parageobacillus|s__thermoglucosidasius
h0,g__Bordetella|s__parapertussis
h1,g__Mycoplasma|s__maculosum
h2,g__Sphingomonas|s__melonis
h8,g__Echinicola|s__sp. LN3S3
h1,g__Brucella|s__sp. BO3
h5,g__Vespertiliibacter|s__pulmonis
h7,g__Agrobacterium|s__larrymoorei
h2,g__Lactobacillus|s__gallinarum
h7,g__Lactobacillus|s__acetotolerans
h6,g__Ralstonia|s__solanacearum
h1,g__Erysipelothrix|s__larvae
h4,g__Rhodococcus|s__ruber
h5,g__Actinomyces|s__sp. ZJ750
h3,g__Vibrio|s__sp. THAF191c
h4,g__Paenibacillus|s__sp. DCT19
h3,g__Maritalea|s__myrionectae
h0,g__Mycobacterium|s__lacus
h5,g__Actinomyces|s__naeslundii
h9,g__Gemella|s__sanguinis
output,g__Octadecabacter
h6,g__Synechococcus|s__sp. HK01-R
output,g__Pseudobutyrivibrio
g__Methanocaldococcus,g__Methanocaldococcus|s__vulcanius
h1,g__Actinosynnema|s__mirum
h9,g__Thermococcus|s__eurythermalis
h3,g__Methanomassiliicoccus|s__Candidatus Methanomassiliicoccus intestinalis
h5,g__Desulfitobacterium|s__dichloroeliminans
h3,g__Citrobacter|s__farmeri
h8,g__Paenibacillus|s__sp. JZ16
D-MannitolMannitolConsumptionimport,g__Streptococcus|s__dysgalactiae
h4,g__Bacillus|s__sp. X1(2014)
output,g__Janthinobacterium
h6,g__Citrobacter|s__sp. 36-4CPA
h7,g__Bacteriovorax|s__stolpii
h6,g__Bacillus|s__sp. SDLI1
g__Mycoplasma,g__Mycoplasma|s__pullorum
h3,g__Vagococcus|s__sp. MN-17
h6,g__Pseudomonas|s__trivialis
h2,g__Pseudomonas|s__sediminis
h8,g__Hymenobacter|s__sp. TS19
h5,g__Epilithonimonas|s__Chryseobacterium lactis
h8,g__Pseudomonas|s__sp. PONIH3
h3,g__Leptospira|s__borgpetersenii
h6,g__Polaribacter|s__sp. L12M9
h2,g__Mesorhizobium|s__sp. NZP2298
h2,g__Mycolicibacterium|s__vanbaalenii
0,g__Filimonas|s__lacunae
h7,g__Acetobacter|s__sp. KACC 21233
h2,g__Sphingomonas|s__sp. YZ-8
h3,g__Methylomonas|s__methanica
h6,g__Streptomyces|s__xinghaiensis
D-GlucoseGlucoseConsumptionimport,g__Acidovorax|s__avenae
h1,g__Candidatus Blochmannia|s__pennsylvanicus
h5,g__Serratia|s__surfactantfaciens
h6,g__Gemmata|s__sp. SH-PL17
h7,g__Thalassococcus|s__sp. S3
h7,g__Thermoproteus|s__tenax
h7,g__Aquiflexum|s__balticum
g__Pontimonas,g__Pontimonas|s__salivibrio
h4,g__Cycloclasticus|s__sp. PY97N
h7,g__Wolbachia|s__endosymbiont of Onchocerca ochengi
h4,g__Rhodobacter|s__sp. CZR27
h8,g__Thermotoga|s__sp. RQ2
h5,g__Clostridium|s__drakei
h3,g__Serratia|s__sp. LS-1
h0,g__Serratia|s__rubidaea
h4,g__Bradyrhizobium|s__sp. CCBAU 51765
output,RR-23-ButanediolRR-ButanediolSS-23-ButanediolSS-ButanediolProductionexport
h3,g__Virgibacillus|s__sp. Bac332
h4,g__Anaerostipes|s__hadrus
3,g__Alistipes|s__sp. dk3624
h0,g__Streptococcus|s__sp. HSISS1
h2,g__Deinococcus|s__actinosclerus
h2,g__Streptococcus|s__equinus
h2,g__Pantoea|s__sp. SM3640
h4,g__Pseudomonas|s__sp. CC6-YY-74
h4,g__Candidatus Methylopumilus|s__rimovensis
h6,g__Shewanella|s__frigidimarina
h8,g__Thermoplasma|s__volcanium
h7,g__Chlamydia|s__sp. S15-834C
h4,g__Glutamicibacter|s__nicotianae
h2,g__Enterococcus|s__sp. HSIEG1
h3,g__Pseudopropionibacterium|s__propionicum
h4,g__Flavobacterium|s__columnare
h0,g__Roseiflexus|s__sp. RS-1
h1,g__Kosakonia|s__Enterobacteriaceae endosymbiont of Plateumaris pusilla
h4,g__Desulfobacula|s__toluolica
h9,g__Kosakonia|s__radicincitans
h9,g__Achromobacter|s__sp. MFA1 R4
h5,g__Dietzia|s__timorensis
SucroseConsumptionimport,g__Fusobacterium|s__mortiferum
h4,g__Rhizobium|s__oryzihabitans
h9,g__Rodentibacter|s__sp. DSM 111151
h1,g__Mycobacterium|s__leprae
g__Tumebacillus,g__Tumebacillus|s__avium
h8,g__Citrobacter|s__sp. RHBSTW-00424
h2,g__Cellulophaga|s__algicola
PantothenicacidVitaminB5PantothenateConsumptionimport,g__Lactobacillus|s__amylovorus
h2,g__Anaerobacillus|s__isosaccharinicus
h5,g__Halorhabdus|s__sp. CBA1104
h4,g__Mycoplasma|s__sp. Phocoena C-264-GEN
output,g__Campylobacter
g__Abiotrophia,g__Abiotrophia|s__defectiva
h7,g__Sphingobacterium|s__sp. dk4302
h7,g__Stenotrophomonas|s__sp. ZAC14D2_NAIMI4_7
h0,g__Pseudothermotoga|s__lettingae
h9,g__Pseudomonas|s__sp. MPC6
h5,g__Campylobacter|s__showae
h9,g__Bordetella|s__flabilis
h5,g__Devosia|s__sp. A16
g__Methanopyrus,g__Methanopyrus|s__kandleri
h1,g__Candidatus Bipolaricaulis|s__anaerobius
h6,g__Paucibacter|s__sp. KCTC 42545
g__Lactobacillus,g__Lactobacillus|s__sp.
h2,g__Corynebacterium|s__sp. 1959
h2,g__Rickettsia|s__prowazekii
h9,g__Methanosarcina|s__barkeri
h8,g__Cupriavidus|s__sp. USMAA2-4
h9,g__Streptomyces|s__sp. F11
4,g__Shewanella|s__baltica
h8,g__Weissella|s__viridescens
h9,g__Sulfurisphaera|s__tokodaii
g__Mycoavidus,g__Mycoavidus|s__cysteinexigens
D-MannoseMannoseConsumptionimport,g__Odoribacter|s__splanchnicus
h1,g__Arthrobacter|s__sp. PAMC 25486
h2,g__Pseudomonas|s__moraviensis
g__Neptunomonas,g__Neptunomonas|s__phycophila
h8,g__Prevotella|s__sp. oral taxon 299
h9,g__Microscilla|s__sp. PRE1
g__CandidatusNitrosoglobus,g__Candidatus Nitrosoglobus|s__terrae
g__Desulfosarcina,g__Desulfosarcina|s__widdelii
h0,g__Mycobacterium|s__noviomagense
h6,g__Cellvibrio|s__sp. PSBB006
h0,g__Mycoplasma|s__canadense
h5,g__Methanohalophilus|s__portucalensis
h6,g__Actinobacillus|s__porcitonsillarum
h5,g__Methanocaldococcus|s__fervens
h1,g__Ornithinimicrobium|s__pratense
h6,g__Borreliella|s__bissettii
h7,g__Limosilactobacillus|s__fermentum
h8,g__Aeromicrobium|s__marinum
h2,g__Burkholderia|s__sp. NRF60-BP8
h6,g__Bradyrhizobium|s__guangdongense
h1,g__Desulfocurvibacter|s__africanus
h6,g__Streptomyces|s__sp. NEAU-sy36
g__Radiobacillus,g__Radiobacillus|s__deserti
h0,g__Neisseria|s__shayeganii
h9,g__Stenotrophomonas|s__acidaminiphila
10,g__Peribacillus|s__butanolivorans
h0,g__Vitreoscilla|s__filiformis
h9,g__Mariniblastus|s__fucicola
h9,g__Deinococcus|s__puniceus
h2,g__Chondrocystis|s__sp. NIES-4102
h5,g__Streptomyces|s__sp. F12
h8,g__Microbacterium|s__sp. BH-3-3-3
h0,g__Leifsonia|s__sp. 21MFCrub1.1
h9,g__Acinetobacter|s__sp. NEB 394
3,g__Prevotella|s__fusca
h1,g__Citrobacter|s__sp. RHBSTW-00678
h6,g__Microbacterium|s__sp. No. 7
h8,g__Epibacterium|s__mobile
g__Sphingosinicella,g__Sphingosinicella|s__sp. BN140058
ButyrateProductionexport,g__Clostridium|s__botulinum
CholicacidCholateProductionexport,g__Bifidobacterium|s__breve
h0,g__Exiguobacterium|s__sp. N4-1P
h1,g__Sporosarcina|s__ureae
h2,g__Phascolarctobacterium|s__faecium
h0,g__Corynebacterium|s__casei
h3,g__Pseudoalteromonas|s__shioyasakiensis
