parent,child
h9,g__Companilactobacillus|s__Lactobacillus paralimentarius
h8,g__Mycobacterium|s__sp. JS623
h5,g__Mesorhizobium|s__sp. 8
7,g__Actinobacillus|s__succinogenes
h0,g__Stenotrophomonas|s__sp. 169
h3,g__Aerococcus|s__urinaeequi
h7,g__Flavonifractor|s__plautii
h8,g__Rhodoferax|s__antarcticus
h0,g__Enterobacter|s__cloacae complex sp. FDA-CDC-AR_0132
h5,g__Blastochloris|s__tepida
h1,g__Parashewanella|s__spongiae
h2,g__Radiobacillus|s__deserti
h3,g__Campylobacter|s__peloridis
o__Flavobacteriales,g__Flagellimonas|s__maritima
h1,g__Finegoldia|s__magna
h4,g__Candidatus Cytomitobacter|s__primus
h9,g__Streptococcus|s__sp. 1643
h6,g__Bartonella|s__tribocorum
h5,g__Halanaerobium|s__praevalens
h5,g__Paraburkholderia|s__caribensis
h7,g__Sphingomonas|s__wittichii
h2,g__Campylobacter|s__volucris
h2,g__Methylobacterium|s__sp. 17Sr1-43
h4,g__Synechococcus|s__sp. A18-46.1
h5,g__Staphylococcus|s__lentus
h8,g__Serratia|s__sp. JKS000199
h2,g__Rubrivivax|s__gelatinosus
h7,g__Mycoplasma|s__meleagridis
o__Pseudomonadales,g__Pseudomonas|s__sp. R4-35-07
h0,g__Xenorhabdus|s__nematophila
h4,g__Tabrizicola|s__piscis
h3,g__Hydrogenophilus|s__thermoluteolus
h4,g__Corynebacterium|s__xerosis
h0,g__Streptomyces|s__sp. PAMC 26508
h9,g__Gluconacetobacter|s__diazotrophicus
h0,g__Pseudoxanthomonas|s__mexicana
h8,g__Enterobacter|s__sp. RFL1396
h4,g__Lacticaseibacillus|s__Lactobacillus manihotivorans
h4,g__Pseudomonas|s__sp. GLE121
h7,g__Serratia|s__sp. FGI94
h8,g__Sphingobium|s__sp. SYK-6
h6,g__Deinococcus|s__wulumuqiensis
h0,g__Rickettsia|s__endosymbiont of Ixodes scapularis
h2,g__Streptomyces|s__sp. ICC1
h2,g__Gemmata|s__obscuriglobus
h2,g__Mycoplasma|s__agalactiae
31,g__Dyella|s__japonica
h7,g__Pseudomonas|s__sp. TUM18999
h6,g__Euzebyella|s__marina
h2,g__Staphylococcus|s__auricularis
h1,g__Cytobacillus|s__oceanisediminis
h1,g__Nitrincola|s__sp. KXZD1103
h5,g__Chryseobacterium|s__gleum
h6,g__Wolbachia|s__endosymbiont of Litomosoides sigmodontis
h0,g__Fibrella|s__aestuarina
h4,g__Pelobacter|s__acetylenicus
h6,g__Enterobacter|s__ludwigii
h9,g__Actinomyces|s__israelii
h3,g__Myroides|s__sp. A21
h1,g__Aquicella|s__siphonis
h3,g__Sideroxydans|s__lithotrophicus
h9,g__Kushneria|s__sp. YCWA18
h4,g__Burkholderia|s__sp. MSMB0266
h2,g__Weissella|s__paramesenteroides
h3,g__Romboutsia|s__sp. CE17
h9,g__Spiroplasma|s__poulsonii
h3,g__Mycoplasma|s__mycoides
o__Micrococcales,g__Luteimicrobium|s__xylanilyticum
h0,g__Aeromonas|s__encheleia
h1,g__Microbacterium|s__sp. 1S1
o__Streptomycetales,g__Streptomyces|s__davaonensis
h3,g__Komagataeibacter|s__medellinensis
5,g__Ruminiclostridium|s__sp. MA18
h1,g__Polaromonas|s__sp. H1N
h2,g__Streptomyces|s__olivaceus
h5,g__Massilia|s__sp. WG5
h5,g__Scytonema|s__sp. NIES-4073
h6,g__Pyrobaculum|s__islandicum
h6,g__Rhizobium|s__leguminosarum
h7,g__Neisseria|s__dentiae
h3,g__Kinneretia|s__sp. DAIF2
h6,g__Paenibacillus|s__baekrokdamisoli
output,ThiamineVitaminB1ThiaminProductionexport
h2,g__Aeromonas|s__sp. ASNIH5
h0,g__Liberibacter|s__Candidatus Liberibacter asiaticus
h6,g__Polaromonas|s__sp. H1N
h8,g__Wenyingzhuangia|s__fucanilytica
h7,g__Mycoplasma|s__ovis
h0,g__Rhodococcus|s__aetherivorans
h0,g__Bradyrhizobium|s__sp. CCBAU 51753
h1,g__Desulfitobacterium|s__hafniense
h9,g__Yersinia|s__bercovieri
h4,g__Rhizobium|s__pseudoryzae
h6,g__Olsenella|s__sp. GAM18
h0,g__Acidovorax|s__carolinensis
h0,g__Oscillibacter|s__sp. PEA192
h8,g__Jeotgalibaca|s__ciconiae
h8,g__Synechococcus|s__sp. A15-127
h4,g__Enterococcus|s__mundtii
h4,g__Vibrio|s__metschnikovii
h8,g__Methylomicrobium|s__buryatense
h0,g__Shigella|s__boydii
o__Rhodobacterales,g__Hirschia|s__baltica
h8,g__Spirochaeta|s__africana
h8,g__Halothiobacillus|s__sp. LS2
o__CandidatusNitrosocaldales,g__Candidatus Nitrosocaldus|s__cavascurensis
h5,g__Jonquetella|s__anthropi
27,g__Pseudomonas|s__oryzihabitans
h7,g__Streptococcus|s__pneumoniae
h9,g__Desulfococcus|s__multivorans
h1,g__Gallaecimonas|s__mangrovi
h7,g__Xanthomonas|s__sacchari
h7,g__Mariniflexile|s__sp. TRM1-10
h8,g__Hydrogenophilus|s__thermoluteolus
h8,g__Arthrobacter|s__sp. Rue61a
MethanolConsumptionimport,g__Methylocella|s__silvestris
h3,g__Aeromonas|s__jandaei
h7,g__Serinicoccus|s__chungangensis
h8,g__Variovorax|s__paradoxus
h8,g__Rhodococcus|s__sp. WB1
h9,g__Mycobacterium|s__saskatchewanense
h4,g__Burkholderia|s__sp. NRF60-BP8
h7,g__Arcobacter|s__suis
h7,g__Hyphobacterium|s__sp. CCMP332
h2,g__Changchengzhania|s__lutea
h5,g__Methylomicrobium|s__alcaliphilum
h5,g__Corynebacterium|s__minutissimum
o__Rhizobiales,g__Bartonella|s__sp. WD16.2
h1,g__Saprospira|s__grandis
h2,g__Nocardioides|s__sp. 78
h6,g__Mycolicibacterium|s__celeriflavum
h4,g__Neorickettsia|s__helminthoeca
h9,g__Yersinia|s__kristensenii
o__Burkholderiales,g__Pigmentiphaga|s__aceris
h2,g__Desulfallas|s__gibsoniae
h3,g__Spiroplasma|s__cantharicola
D-SorbitolD-GlucitolSorbitolGlucitolL-SorbitolSorbitolConsumptionimport,g__Acidovorax|s__avenae
h0,g__Streptomyces|s__sp. PVA_94-07
18,g__Eggerthella|s__sp. HF-1101
h3,g__Ralstonia|s__blood disease bacterium A2-HR MARDI
h1,g__Aeropyrum|s__pernix
h5,g__Halostagnicola|s__larsenii
h8,g__Halomonas|s__sp. SF2003
h9,g__Cellulomonas|s__gilvus
h5,g__Arthrospira|s__platensis
h9,g__Arthrobacter|s__dokdonellae
h9,g__Citrobacter|s__sp. RHBSTW-00229
h7,g__Klebsiella|s__oxytoca
o__Rhodobacterales,g__Celeribacter|s__manganoxidans
h3,g__Mixta|s__theicola
h7,g__Granulicella|s__tundricola
h9,g__Clostridium|s__sp. JN-1
h0,g__Brachybacterium|s__saurashtrense
h4,g__Methanothrix|s__thermoacetophila
h7,g__Limnohabitans|s__sp. 63ED37-2
h5,g__Rothia|s__mucilaginosa
h6,g__Corynebacterium|s__kroppenstedtii
h7,g__Rubrobacter|s__xylanophilus
h5,g__Mesorhizobium|s__sp. Pch-S
h4,g__Legionella|s__geestiana
h1,g__Treponema|s__caldarium
h4,g__Thermococcus|s__profundus
h2,g__Microbulbifer|s__sp. SH-1
h0,g__Burkholderia|s__sp. BDU6
h2,g__Sphingomonas|s__sp. JE1
h3,g__Borreliella|s__finlandensis
h4,g__Caballeronia|s__insecticola
H2HydrogenProductionexport,g__Bacteroides|s__ovatus
h2,g__Pseudonocardia|s__sp. Gen01
h9,g__Methanofervidicoccus|s__sp. A16
h5,g__Bacterioplanes|s__sanyensis
h3,g__Geitlerinema|s__sp. PCC 7407
h6,g__Microbacterium|s__sp. Y-01
o__Burkholderiales,g__Burkholderia|s__sp. THE68
h2,g__Komagataeibacter|s__europaeus
h2,g__Treponema|s__sp. Marseille-Q4132
h5,g__Rickettsia|s__helvetica
h5,g__Brasilonema|s__sennae
h0,g__Geovibrio|s__thiophilus
h6,g__Borrelia|s__miyamotoi
h6,g__Buttiauxella|s__sp. 3AFRM03
PyridoxalVitaminB6PyridoxinePyridoxamineVitaminB6Consumptionimport,g__Shigella|s__sonnei
o__Campylobacterales,g__Arcobacter|s__peruensis
h2,g__Chlamydia|s__pneumoniae
h3,g__Bartonella|s__sp. CDC_skunk
output,128
h5,g__Allofrancisella|s__inopinata
h6,g__Bacillus|s__haynesii
h8,g__Kitasatospora|s__sp. NA04385
h5,g__Bartonella|s__sp. WD16.2
h2,g__Micromonospora|s__echinaurantiaca
h8,g__Entomoplasma|s__melaleucae
h8,g__Chlamydia|s__avium
o__Enterobacterales,g__Cedecea|s__lapagei
h9,g__Arcobacter|s__cibarius
h8,g__Taylorella|s__equigenitalis
h7,g__Vibrio|s__cholerae
h9,g__Nitratifractor|s__salsuginis
h2,g__Formosa|s__sp. L2A11
h8,g__Sphingomonas|s__sp. AAP5
h0,g__Paracoccus|s__sp. BM15
h2,g__Cytophaga|s__hutchinsonii
h2,g__Bradyrhizobium|s__sp. CCBAU 051011
h6,g__Calothrix|s__sp. PCC 7507
h9,g__Corynebacterium|s__sp. NML98-0116
h9,g__Modestobacter|s__marinus
h1,g__Halorhodospira|s__halophila
h1,g__Candidatus Cardinium|s__Cardinium endosymbiont of Sogatella furcifera
h7,g__Rhodococcus|s__sp. WMMA185
h9,g__Acinetobacter|s__lwoffii
h4,g__Neorickettsia|s__sennetsu
h5,g__Sphingobium|s__sp. RSMS
h4,g__Bacillus|s__vallismortis
h0,g__Colwellia|s__sp. MT41
AcetateProductionexport,g__Mycoplasma|s__mycoides
h4,g__Fusobacterium|s__necrophorum
h8,g__Shewanella|s__sp. Pdp11
h4,g__Bacteroides|s__thetaiotaomicron
h4,g__Staphylococcus|s__simiae
h6,g__Oceanicoccus|s__sagamiensis
output,MenaquinoneVitaminK2Productionexport
h7,g__Plantactinospora|s__sp. BB1
h1,g__Pyrococcus|s__yayanosii
h3,g__Borreliella|s__spielmanii
h2,g__Paludibacter|s__propionicigenes
h9,g__Blattabacterium|s__sp. (Blatta orientalis)
h6,g__Lysinibacillus|s__fusiformis
h6,g__Arthrobacter|s__sp. YC-RL1
h7,g__Nocardioides|s__sp. zg-579
h9,g__Halanaeroarchaeum|s__sulfurireducens
h7,g__Mixta|s__gaviniae
o__Desulfovibrionales,g__Desulfovibrio|s__sulfodismutans
h9,g__Lacinutrix|s__sp. 5H-3-7-4
o__Kineosporiales,g__Kineococcus|s__radiotolerans
h3,g__Halalkaliarchaeum|s__desulfuricum
h0,g__Sulfolobus|s__islandicus
o__Clostridiales,g__Clostridium|s__formicaceticum
h5,g__Cruoricaptor|s__ignavus
h3,g__Faecalibacterium|s__prausnitzii
h5,g__Hypericibacter|s__adhaerens
h6,g__Streptomyces|s__anulatus
h5,g__Pseudomonas|s__extremorientalis
h0,g__Flavobacterium|s__johnsoniae
h1,g__Paenibacillus|s__durus
h7,g__Entomoplasma|s__somnilux
h0,g__Actinoplanes|s__missouriensis
h0,g__Alistipes|s__shahii
h9,g__Synechococcus|s__sp. JA-3-3Ab
h2,g__Synechococcus|s__sp. CC9311
o__Synechococcales,g__Cyanobium|s__sp. NS01
h5,g__Methylococcus|s__sp. IM1
h4,g__Sphingobium|s__sp. PAMC28499
h1,g__Mycobacterium|s__lepraemurium
o__Cytophagales,g__Adhaeribacter|s__sp. KUDC8001
h8,g__Streptomyces|s__glaucescens
110,g__Bradyrhizobium|s__sp. SK17
h0,g__Burkholderia|s__sp. MSMB0856
o__Rhizobiales,g__Methylobacterium|s__sp. C1
h1,g__Megamonas|s__funiformis
h5,g__Chlamydia|s__muridarum
h8,g__Spirosoma|s__radiotolerans
h8,g__Bacillus|s__thermoamylovorans
h6,g__Nostoc|s__sp. PCC 7524
h7,g__Ewingella|s__americana
o__Campylobacterales,g__Helicobacter|s__mustelae
o__Bacillales,g__Oceanobacillus|s__sp. 160
h1,g__Bacillus|s__sp. AM1(2019)
h1,g__Pseudoalteromonas|s__rubra
h0,g__Limosilactobacillus|s__Lactobacillus vaginalis
h7,g__Pseudomonas|s__knackmussii
h3,g__Xenorhabdus|s__doucetiae
h7,g__Pyrolobus|s__fumarii
h9,g__Pseudomonas|s__arsenicoxydans
h9,g__Pseudomonas|s__sp. Lz4W
o__Thiotrichales,g__Thioploca|s__ingrica
h5,g__Kribbella|s__qitaiheensis
h9,g__Pseudomonas|s__silesiensis
h3,g__Sodalis|s__Candidatus Sodalis pierantonius
h7,g__Erwinia|s__pyrifoliae
h8,g__Rhizobium|s__sp. ADMK78
h2,g__Paraburkholderia|s__caledonica
h3,g__Francisella|s__sp. LA112445
h6,g__Thermus|s__brockianus
o__Aquificales,g__Persephonella|s__marina
h8,g__Candidatus Hodgkinia|s__cicadicola
h1,g__Hydrogenophaga|s__sp. NH-16
h0,g__Glutamicibacter|s__mishrai
CO2Productionexport,g__Thermoplasma|s__acidophilum
h6,g__Pseudomonas|s__sp. SCB32
h6,g__Massilia|s__plicata
h2,g__Janibacter|s__indicus
h4,g__Thalassolituus|s__oleivorans
h0,g__Mucilaginibacter|s__sp. F39-2
h7,g__Salinisphaera|s__sp. LB1
h9,g__Salinivibrio|s__costicola
h9,g__Raoultella|s__planticola
h8,g__Candidatus Planktophila|s__limnetica
h9,g__Histophilus|s__somni
h7,g__Thermosynechococcus|s__sp. CL-1
h1,g__Mannheimia|s__haemolytica
1,g__Paenibacillus|s__riograndensis
o__Deinococcales,g__Deinococcus|s__sp. D7000
h3,g__Coxiella|s__burnetii
o__Flavobacteriales,g__Galbibacter|s__sp. BG1
h6,g__Thermococcus|s__kodakarensis
h5,g__Fusobacterium|s__sp. NSJ-57
h1,g__Mycolicibacterium|s__chitae
o__Deferribacterales,g__Flexistipes|s__sinusarabici
o__Rubrobacterales,g__Baekduia|s__soli
h1,g__Clostridium|s__sp. JN-9
h2,g__Campylobacter|s__helveticus
h3,g__Leuconostoc|s__suionicum
h9,g__Ruania|s__sp. HY168
h2,g__Streptomyces|s__sp. jing01
h0,g__Spiroplasma|s__litorale
h5,g__Altibacter|s__sp. ALE3EI
h7,g__Streptomyces|s__cyaneochromogenes
h7,g__Microbacterium|s__sp. CGR1
h8,g__Bacteroides|s__ovatus
h2,g__Chroococcidiopsis|s__thermalis
h6,g__Mixta|s__gaviniae
o__Sphingomonadales,g__Sphingobium|s__indicum
h3,g__Fastidiosipila|s__Clostridiales bacterium Choco116
h4,g__Burkholderia|s__thailandensis
h6,g__Aeromicrobium|s__marinum
h1,g__Moorella|s__thermoacetica
h8,g__Massilia|s__putida
h2,g__Ancylobacter|s__sp. TS-1
CelluloseBeta-D-glucanMacromoleculedegradation,g__Cellulomonas|s__flavigena
h7,g__Mycobacterium|s__basiliense
h2,g__Thiohalobacter|s__thiocyanaticus
o__Pseudomonadales,g__Moraxella|s__sp. TA144
h1,g__Parasphingopyxis|s__algicola
h6,g__Bacillus|s__sp. S3
h9,g__Frateuria|s__aurantia
h3,g__Cupriavidus|s__nantongensis
h7,g__Psychrobacter|s__sp. DAB_AL60
h9,g__Propionibacterium|s__sp. oral taxon 193
h6,g__Capnocytophaga|s__sp. oral taxon 864
h2,g__Kyrpidia|s__tusciae
h4,g__Vibrio|s__natriegens
h1,g__Klebsiella|s__quasipneumoniae
CO2Productionexport,g__Bacillus|s__atrophaeus
h3,g__Bosea|s__sp. AS-1
h4,g__Pigmentiphaga|s__sp. H8
h7,g__Paenibacillus|s__swuensis
h9,g__Thiobacillus|s__sp.
h9,g__Liberibacter|s__Candidatus Liberibacter solanacearum
o__Actinomycetales,g__Actinomyces|s__sp. Z16
o__Rhodocyclales,g__Candidatus Kinetoplastibacterium|s__desouzaii
h5,g__Streptomyces|s__sp. WAC 01529
h6,g__Ehrlichia|s__ruminantium
h4,g__Flavobacterium|s__kingsejongi
h8,g__Nonomuraea|s__nitratireducens
14,g__Geobacillus|s__sp. 44B
h1,g__Streptomyces|s__rimosus
h8,g__Beggiatoa|s__leptomitoformis
h9,g__Rhodoplanes|s__sp. Z2-YC6860
h4,g__Chlamydia|s__muridarum
h7,g__Paucibacter|s__sp. KCTC 42545
L-GlutamateL-GlutamicacidGlutamateD-GlutamateProductionexport,g__Corynebacterium|s__glutamicum
h5,g__Thermotoga|s__profunda
o__Actinomycetales,g__Actinomyces|s__viscosus
h4,g__Pandoraea|s__vervacti
o__,g__Candidatus Xiphinematobacter|s__sp. Idaho Grape
h5,g__Bartonella|s__bacilliformis
h6,g__Bifidobacterium|s__asteroides
h6,g__Thioclava|s__nitratireducens
h8,g__Pseudomonas|s__sp. J380
output,309
h8,g__Calothrix|s__parasitica
44,g__Sinorhizobium|s__americanum
o__Rhodospirillales,g__Candidatus Endolissoclinum|s__faulkneri
h8,g__Agrobacterium|s__genomosp. 1
h1,g__Rhodospirillum|s__rubrum
o__Rickettsiales,g__Wolbachia|s__endosymbiont of Drosophila ananassae
h3,g__Burkholderia|s__sp. RPE67
h5,g__Saccharomonospora|s__azurea
h6,g__Chryseobacterium|s__sp. POL2
h7,g__Streptococcus|s__sp. A12
41,g__Candidatus Prometheoarchaeum|s__syntrophicum
h2,g__Burkholderia|s__sp. MSMB617WGS
h9,g__Legionella|s__sp. PC1000
h9,g__Rhodococcus|s__sp. NJ-530
h7,g__Wolbachia|s__endosymbiont of Chrysomya megacephala
h1,g__Micromonospora|s__coxensis
h1,g__Halopiger|s__xanaduensis
h3,g__Rhodobacter|s__blasticus
h9,g__Gemella|s__morbillorum
o__Synechococcales,g__Synechococcus|s__sp. LTW-R
o__Synechococcales,g__Cyanobium|s__sp. NIES-981
H2O2Productionexport,g__Streptococcus|s__sanguinis
h7,g__Geobacter|s__pickeringii
h5,g__Thalassolituus|s__oleivorans
h7,g__Formosa|s__agariphila
h9,g__Austwickia|s__chelonae
h9,g__Chlamydia|s__abortus
h3,g__Synechococcus|s__sp. BMK-MC-1
o__Nostocales,g__Cylindrospermum|s__stagnale
h4,g__Serratia|s__sp. MYb239
h8,g__Eubacterium|s__[Eubacterium] cellulosolvens
D-MannitolMannitolConsumptionimport,g__Bacteroides|s__xylanisolvens
h6,g__Raoultella|s__Enterobacteriaceae endosymbiont of Plateumaris rustica
h2,g__Salinivibrio|s__kushneri
output,o__Propionibacteriales
h6,g__Halomonas|s__sp. JS92-SW72
h2,g__Luteipulveratus|s__mongoliensis
h0,g__Desulfitobacterium|s__dehalogenans
h2,g__Pseudomonas|s__sp. MYb193
h6,g__Streptomyces|s__sp. RLB3-6
h7,g__Thermus|s__scotoductus
h5,g__Paraburkholderia|s__tropica
h2,g__Citrobacter|s__sp. RHBSTW-00446
o__Cytophagales,g__Pontibacter|s__pudoricolor
o__Micrococcales,g__Actinotalea|s__sp. JY-7876
h8,g__Acinetobacter|s__sp. WCHAc010034
h1,g__Rickettsia|s__asembonensis
h6,g__Mycobacteroides|s__salmoniphilum
TaurocholateConsumptionimport,g__Bacteroides|s__fragilis
h1,g__Halomonas|s__sp. Y2R2
h8,g__Burkholderia|s__sp. BDU8
o__Lactobacillales,g__Streptococcus|s__australis
h1,g__Aeromonas|s__sp. 1805
SulfurElementalsulfurConsumptionimport,g__Thiobacillus|s__denitrificans
h4,g__Tsukamurella|s__paurometabola
h7,g__Bartonella|s__bacilliformis
h8,g__Mycoplasma|s__cynos
2,g__Streptococcus|s__sp. HSISB1
o__Bacteroidales,g__Bacteroides|s__uniformis
h3,g__Capnocytophaga|s__canimorsus
h2,g__Francisella|s__sp. LA112445
h3,g__Paraburkholderia|s__caledonica
h4,g__Cetia|s__pacifica
h5,g__Rhodococcus|s__sp. X156
h3,g__Streptococcus|s__gallolyticus
h7,g__Microbacterium|s__sp. HY82
h4,g__Pseudomonas|s__sp. 09C 129
h6,g__Lichenihabitans|s__psoromatis
AcetateProductionexport,g__Escherichia|s__coli
h6,g__Nitrososphaera|s__Candidatus Nitrososphaera gargensis
h7,g__Deinococcus|s__gobiensis
h2,g__Aeromonas|s__dhakensis
DNARNAPolynucleotideMacromoleculedegradation,g__Brevibacillus|s__brevis
CitrateConsumptionimport,g__Aeromonas|s__salmonicida
h4,g__Synechococcus|s__sp. JA-2-3B'a(2-13)
h6,g__Sulfolobus|s__sp. NOB8H2
h1,g__Nocardia|s__cyriacigeorgica
h8,g__Corynebacterium|s__pelargi
h6,g__Celeribacter|s__manganoxidans
h2,g__Candidatus Annandia|s__adelgestsuga
h3,g__Halanaerobium|s__hydrogeniformans
h4,g__Pyruvatibacter|s__mobilis
h1,g__Chlorobium|s__phaeovibrioides
h5,g__Streptomyces|s__sp. So13.3
h7,g__Sphingobium|s__chlorophenolicum
h1,g__Frederiksenia|s__canicola
